YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,AGE,LAST_FLAG,PLACE,COUNTRY
2016,7714313,Clipper,Other,15855,,1977,39,Palau,Alang,India
2016,9215684,Stewart,Container Ship,40085,,2001,15,Palau,Chittagong,Bangladesh
2016,9072501,Ronda Carrier,Reefer,8520,,1993,23,Panama,Aliaga,Turkey
2016,9010125,Western Pride,Other,2945,,1991,25,Panama,Frederikshavn,Denmark
2016,7616767,Gil,Other,10568,,1978,38,St. Kitts-Nevis,Alang,India
2016,8109668,Charleston-I,Tanker,31452,,1983,33,St. Kitts-Nevis,Alang,India
2016,7014385,Putford Puffin,Offshore/Supply Vessel,661,,1970,46,United Kingdom,Grenaa,Denmark
2016,7393626,Putford Apollo,Offshore/Supply Vessel,868,,1975,41,United Kingdom,Grenaa,Denmark
2016,8919922,Courage,Other,52288,,1991,25,United States of America,Aliaga,Turkey
2016,7326233,Trader,Container Ship,28212,,1973,43,United States of America,Alang,India
2016,8026799,Energy Enterprise,Bulk Carrier,28250,,1983,33,United States of America,Alang,India
2016,8313661,Capt. Steven L.Bennett,Container Ship,29226,,1984,32,United States of America,Alang,India
2016,8751021,Transocean Driller,Other,15606,,1991,25,Vanuatu,Aliaga,Turkey
2016,8754891,GSF Rig 135,Other,13694,,1983,33,Vanuatu,Aliaga,Turkey
2016,8752025,Transocean John Shaw,Other,15425,,1982,34,Vanuatu,Aliaga,Turkey
2016,8752415,GSF Grand Banks,Other,15923,,1984,32,Vanuatu,Aliaga,Turkey
2016,8308812,Ismail Deeb,Bulk Carrier,17056,,1984,32,Belize,Gadani,Pakistan
2016,8607957,Lan Hai Chuang Xin,Bulk Carrier,39539,,1989,27,China,Alang,India
2016,8308874,Mevlana,Bulk Carrier,22556,,1984,32,Cook Islands,Gadani,Pakistan
2016,7905273,NSO Champion,Offshore/Supply Vessel,2501,,1979,37,Cook Islands,Aliaga,Turkey
2016,7515377,Jedana,Offshore/Supply Vessel,1368,,1977,39,Equatorial Guinea,Alang,India
2016,8214516,UI Jibong,Other,1292,,1983,33,Korea (North),Jiangyin,China
2016,7633399,Shuttle 1,Container Ship,2581,,1977,39,Lebanon,Aliaga,Turkey
2016,9045900,Go Pub,Bulk Carrier,38105,,1993,23,Liberia,Gadani,Pakistan
