VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DESTINATION,Unnamed: 13,Unnamed: 14
Starford 6,8221478,Bulk Carrier,15272,1983,Panama,Starford International Shipping Company Limited  ,Hong Kong,Starford International Shipping Company Limited  ,Star Strength Limited  ,British Virgin Islands,2016-04-14 00:00:00,Chittagong,Bangladesh,2016-05-31 00:00:00
Tuo Fu 1,9044451,Bulk Carrier,41889,1993,Panama,Tuofu Ocean Shipping Limited ,Hong Kong,Tuofu Ocean Shipping Limited ,Tuofu Ocean Shipping Limited ,Hong Kong,2015-12-18 00:00:00,Chittagong,Bangladesh,2016-01-02 00:00:00
South Hill 2,8412467,Bulk Carrier,14921,1984,Sierra Leone,Hua Heng Shipping Limited ,Hong Kong,Hua Heng Shipping Limited ,CM Chartering Limited ,China,2016-01-10 00:00:00,Jiangyin,China,2016-01-17 00:00:00
Pacific Marlin,7810741,Standby Safety Vessel,1200,1978,Singapore,Swire Pacific Limited  ,Hong Kong,Swire Pacific Offshore Operations Private Limited  ,Swire Pacific Offshore Operations Private Limited  ,Singapore,2016-06-09 00:00:00,Alang,India,2016-06-11 00:00:00
Papa,9111577,Bulk Carrier,36097,1995,Comoros,M Pallonji & Company Private Limited  ,India,M Pallonji & Company Private Limited  ,M Pallonji Shipping Singapore Private Limited  ,Singapore,2016-03-11 00:00:00,Gadani,Pakistan,2016-04-20 00:00:00
Alicorn,7626712,Tug,571,1976,Comoros,Ocean Sparkle Limited  ,India,Ocean Sparkle Limited  ,Synergy Maritime Incorporated  ,Panama,2016-06-10 00:00:00,Gadani,Pakistan,2016-06-21 00:00:00
Apj Akhil,8116867,Bulk Carrier,27997,1989,India,Apeejay Shipping Limited  ,India,Apeejay Shipping Limited  ,Apeejay Shipping Limited  ,India,2016-06-17 00:00:00,Gadani,Pakistan,2016-07-27 00:00:00
Halani 2,7502459,Tug/Supply,637,1975,India,Bhambhani Shipping Limited ,India,Bhambhani Shipping Limited ,Bhambhani Shipping Limited ,India,2016-09-26 00:00:00,Alang,India,2016-10-02 00:00:00
Vestfonn,8211849,Support,3753,1983,India,BJ Services Company Middle East Limited  ,India,BJ Services Company Middle East Limited  ,Baker Hughes Oilfield Services India Private Limited  ,Bahamas,2016-04-22 00:00:00,Alang,India,2016-04-28 00:00:00
Maratha Deep,7375234,Bulk Carrier,21164,1974,India,Chowgule & Company Private Limited  ,India,Chowgule & Company Private Limited  ,Chowgule & Company Private Limited  ,India,2016-04-12 00:00:00,Alang,India,2016-04-14 00:00:00
Era Majestic,9106754,Fully Cellular Containership,7944,1995,India,Era Shipping Private Limited ,India,Era Shipping Private Limited ,Era Shipping Private Limited ,India,2016-10-26 00:00:00,Chittagong,Bangladesh,2016-11-22 00:00:00
Era Iris,9411458,General Cargo,4422,2007,India,Era Shipping Private Limited ,India,Era Shipping Private Limited ,Era Shipping Private Limited ,India,2016-11-02 00:00:00,Alang,India,2016-11-16 00:00:00
Samudrika 11,8311766, Anchor Handling Tug/Supply,950,1986,India,Oil and Natural Gas Corporation Limited (ONGC)  ,India,Oil and Natural Gas Corporation Limited (ONGC)  ,Oil and Natural Gas Corporation Limited (ONGC)  ,India,2016-04-06 00:00:00,Alang,India,2016-04-09 00:00:00
Anweshak ,7416997,Research/Supply Ship,789,1974,India,Raj Shipping Agencies Limited  ,India,Raj Shipping Agencies Limited  ,Raj Shipping Agencies Limited  ,India,2016-06-10 00:00:00,Alang,India,2016-06-19 00:00:00
Sanmar Paragon,9112325,Bulk Carrier,38560,1996,India,Sanmar Shipping Limited  ,India,Sanmar Shipping Limited  ,Sanmar Shipping Limited  ,India,2016-09-01 00:00:00,Chittagong,Bangladesh,2016-09-30 00:00:00
Nand Heera,8219138,Tug/Supply,1313,1984,India,TAG Offshore Limited ,India,TAG Offshore Limited ,TAG Offshore Limited ,India,2016-10-26 00:00:00,Alang,India,2016-10-30 00:00:00
Chennai Jayam,8200474,Bulk Carrier,24681,1983,India,The India Cements Limited  ,India,The India Cements Limited  ,The India Cements Limited  ,India,2016-06-02 00:00:00,Chittagong,Bangladesh,2016-06-15 00:00:00
