VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DESTINATION,Unnamed: 13,Unnamed: 14
NAME,IMO#,TYPE,GT,BUILT,LAST FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,DATE SOLD FOR BREAKING,PLACE,COUNTRY,ARRIVAL 
Frosina,7125196,General Cargo,2757,1971,San Marino,Globex Sh P K ,Albania,Globex Sh P K ,Globex Sh P K ,Albania,2016-11-02 00:00:00,Aliaga,Turkey,2016-11-03 00:00:00
Luena ,8706088,Combined Chemical And Oil Tanker,22733,1990,Niue,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL)  ,Angola,Sociedade Nacional de Combustiveis de Angola EP (SONANGOL)  ,SONANGOL Shipping Ngol Luena  ,Malta,2016-05-11 00:00:00,Gadani,Pakistan,2016-05-21 00:00:00
Trident  ,8808537,Product Tanker,19034,1997,Djibouti,Trans-Ona S.A.M.C.I.F.  ,Argentina,Trans-Ona S.A.M.C.I.F.  ,Trans-Ona S.A.M.C.I.F.  ,Argentina,2016-03-24 00:00:00,Gadani,Pakistan,2016-05-14 00:00:00
Cent,8203309,Bulk Carrier With Container Capacity,13004,1982,Palau,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Argentina,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Maritima Maruba SCA (Sociedad en Comandita por Acciones) ,Argentina,2016-08-29 00:00:00,Alang,India,2016-10-05 00:00:00
Austral Leader II,7382770,Trawler,1045,1975,Australia,Austral Fisheries Proprietary Limited  ,Australia,Austral Fisheries Proprietary Limited  ,Austral Fisheries Proprietary Limited  ,Australia,2016-04-02 00:00:00,Alang,India,2016-04-09 00:00:00
UK Sea,8509117,Bulk Carrier,23262,1988,Togo,Alcoa of Australia Limited  ,Australia,Alcoa of Australia Limited  ,Alcoa of Australia Limited  ,Australia,2016-03-20 00:00:00,Gadani,Pakistan,2016-04-02 00:00:00
Seahorse Spirit ,7623904,Diving Support,2090,1980,Tuvalu,Commonwealth Government of Australia  ,Australia,DMS Maritime Proprietary Limited  ,DMS Maritime Proprietary Limited  ,Australia,2016-07-16 00:00:00,Alang,India,2016-07-22 00:00:00
Infinity,8311376,General Cargo ,10576,1986,Bangladesh,AK Ship Management & Services (Private) Limited ,Bangladesh,AK Ship Management & Services (Private) Limited ,Grandeur Shipping Lines Limited ,Bangladesh,2016-03-02 00:00:00,Chittagong,Bangladesh,2016-03-31 00:00:00
Bashundhara 2,8316223,Bulk Carrier,27535,1986,Bangladesh,Bashundhara Group ,Bangladesh,Bashundhara Logistics Limited ,East West Property Development (Private) Limited ,Bangladesh,2015-12-02 00:00:00,Chittagong,Bangladesh,2016-01-03 00:00:00
Banglar Kakoli,7611602,General Cargo With Container Capacity,12521,1979,Bangladesh,Government of Bangladesh  ,Bangladesh,Bangladesh Shipping Corporation  ,Bangladesh Shipping Corporation  ,Bangladesh,2016-05-23 00:00:00,Chittagong,Bangladesh,2016-07-25 00:00:00
Bear Hunter,9292254,Fully Cellular Containership,54519,2004,Hong Kong,Delphis N.V. ,Belgium,Delphis N.V. ,Bear Hunter Limited ,Hong Kong,2016-10-13 00:00:00,Chittagong,Bangladesh,2016-11-23 00:00:00
Bull Hunter,9292242,Fully Cellular Containership,54519,2004,Liberia,Delphis N.V. ,Belgium,Delphis N.V. ,Bull Hunter Limited ,Hong Kong,2016-10-13 00:00:00,Chittagong,Bangladesh,2016-11-24 00:00:00
Sanderus,6829795,Trailing Suction Hopper Dredger,4740,1967,Mauritius,Jan De Nul Group ,Belgium,Port Louis Maritime Corporation Limited ,Port Louis Maritime Corporation Limited ,Mauritius,2016-12-26 00:00:00,Ghent,Belgium,2016-12-31 00:00:00
Water,9175066,Bulk Carrier,85695,1999,Niue,CMB N.V. S.A. ,Belgium,Bocimar Belgium N.V. ,Bocimar Belgium N.V. ,,2016-01-20 00:00:00,Chittagong,Bangladesh,2016-02-27 00:00:00
Spring Bay,8604606,Reefer,3999,1987,St. Kitts-Nevis,Euro Marine Services B.V.B.A. ,Belgium,Euro Marine Services B.V.B.A. ,Juno Shipping Company Limited ,Belize,2016-07-12 00:00:00,Alang,India,2016-10-19 00:00:00
Methani,7357452,Liquid Natural Gas Carrier,81792,1978,St. Kitts-Nevis ,Exmar N.V.  ,Belgium,Exmar Marine N.V.  ,Distrigas LNG Shipping NV  ,Belgium,2016-06-02 00:00:00,Aliaga,Turkey,2016-06-07 00:00:00
Swan Arrow,8512970,Bulk Carrier With Container Capacity,28805,1987,Bahamas,Gearbulk Holding Limited ,Bermuda,Gearbulk Holding Limited ,Gearbulk Shipowning Limited ,Bermuda,2016-02-03 00:00:00,Alang,India,2016-03-10 00:00:00
Tsuru Arrow,8512968,Bulk Carrier With Container Capacity,28805,1987,Bahamas,Gearbulk Holding Limited  ,Bermuda,Gearbulk Holding Limited  ,Gearbulk Shipowning Limited  ,Bermuda,2016-03-20 00:00:00,Alang,India,2016-04-06 00:00:00
Harefield,8308159,General Cargo With Container Capacity,27818,1985,Bahamas,Gearbulk Holding Limited  ,Bermuda,Gearbulk Holding Limited  ,Gearbulk Shipowning Limited  ,Bermuda,2016-07-31 00:00:00,Alang,India,2016-09-21 00:00:00
Berge Matterhorn,9113915,Bulk Carrier,87743,1996,Isle of Man,Berge Bulk Limited ,Bermuda,Berge Bulk (Norway) AS ,Dillingham Company S.A. ,Isle of Man,2016-01-20 00:00:00,Chittagong,Bangladesh,2016-03-16 00:00:00
Siteam Anja,28027,Combined Chemical And Oil Tanker,28027,1997,Marshall Islands,Team Tankers International Limited ,Bermuda,Team Tankers Management AS ,Team Tankers Deep Sea Limited ,Bermuda,2016-07-12 00:00:00,Aliaga,Turkey,2016-09-07 00:00:00
Renuar,9042221,Bulk Carrier,38520,1993,Panama,Excel Maritime Carriers Limited ,Bermuda,Excel Maritime Carriers Limited ,Candy Enterprises Incorporated ,Greece,2015-12-03 00:00:00,Gadani,Pakistan,2015-12-04 00:00:00
Searcher,5203554,Drill Ship,13469,1959,St. Kitts-Nevis,Northern Offshore Limited,Bermuda,Jet Drilling (S) Private Limited ,Jet Shipping Limited ,St. Vincent & Grenadines,2016-11-02 00:00:00,Alang,India,2016-11-12 00:00:00
Avras,8301826,Product Tanker,19290,1992,Djibouti,Petroleo Brasileiro S.A. - PETROBRAS & Departamento de Transporte - DETRAN ,Brazil,Petrobras Transporte S.A. (TRANSPETRO) ,Petrobras Transporte S.A. (TRANSPETRO) ,Brazil,2016-01-20 00:00:00,Alang,India,2016-01-28 00:00:00
Ore Timbopeba,8415964,Bulk Ore Carrier,100070,1986,Liberia,Vale SA (formerly Companhia Vale do Rio Doce) ,Brazil,Seamar Shipping Corporation ,Seamar Shipping Corporation ,Liberia,2016-01-20 00:00:00,Chittagong,Bangladesh,2016-02-10 00:00:00
Ore Itabira,9001289,Bulk Ore Carrier,93699,1991,Liberia,Vale SA (formerly Companhia Vale do Rio Doce) ,Brazil,Seamar Shipping Corporation ,Seamar Shipping Corporation ,Liberia,2016-02-18 00:00:00,Chittagong,Bangladesh,2016-03-10 00:00:00
Mos,8206947,Product Tanker,18526,1985,Comoros,Bratina Corporation Limited ,British Virgin Islands,Caroil Transport Marine Limited ,Dunkery International S.A. ,Panama,2015-11-05 00:00:00,Alang,India,2016-03-24 00:00:00
RZS Harmony ,9179579,Bulk Carrier,87614,1999,Hong Kong,Rising Stella Investment Holdings Corporation  ,British Virgin Islands,Cara Shipping Private Limited  ,RZS Harmony Shipping Company Limited  ,Hong Kong,2016-03-30 00:00:00,Gadani,Pakistan,2016-04-27 00:00:00
RZS Fortune,9136589,Bulk Carrier,83658,1996,Marshall Islands,Rising Stella Investment Holdings Corporation ,British Virgin Islands,Cara Shipping Private Limited ,RZS Fortune Shipping Company Limited ,Marshall Islands,2015-11-05 00:00:00,Gadani,Pakistan,2015-12-01 00:00:00
New  ,7625794,Passenger Ro/Ro,12586,1980,Palau,Arising International Holdings Limited ,British Virgin Islands,Arising International Holdings Limited ,Arising International Holdings Limited ,British Virgin Islands,2016-10-05 00:00:00,Alang,India,2016-10-15 00:00:00
Hua Xiang,8604905,Bulk Carrier,15742,1986,Palau,Vastfield Limited  ,British Virgin Islands,Vastfield Limited  ,Vastfield Limited  ,British Virgin Islands,2016-04-28 00:00:00,Chittagong,Bangladesh,2016-06-12 00:00:00
Plana,9004176,Bulk Carrier,13834,1991,Malta,Government of Bulgaria  ,Bulgaria,Navigation Maritime Bulgare Limited (NAVIBULGAR)  ,Plana Navigation Limited  ,Malta,2016-03-30 00:00:00,Alang,India,2016-04-08 00:00:00
Vola 1,9044700,Bulk Carrier,13851,1992,Malta,Navigation Maritime Bulgare AD (NAVIBULGAR) ,Bulgaria,Navigation Maritime Bulgare AD (NAVIBULGAR) ,Vola Maritime Limited ,Bulgaria,2016-11-02 00:00:00,Chittagong,Bangladesh,2016-11-16 00:00:00
Federal St.Laurent,9110896,Bulk Carrier,20837,1996,Barbados,Fednav Limited ,Canada,Fednav Agency Limited ,Federal Atlantic Limited ,Marshall Islands,2016-06-02 00:00:00,Xinhui,China,2016-06-12 00:00:00
Seaswan 1,9251365,Fully Cellular Containership,53822,2003,Comoros,Washington Marine Group ,Canada,Seaspan Corporation  ,Seaspan Corporation  ,Hong Kong,2016-09-01 00:00:00,Alang,India,2016-12-30 00:00:00
Pacific Hickory,7315777,Tug ,880,1973,Dominica,Seabridge Marine Services Limited ,Canada,Seabridge Marine Services Limited ,Seabridge Marine Services Limited ,Canada,2016-12-02 00:00:00,Aliaga,Turkey,2016-12-15 00:00:00
Seaspan Excellence,9251377,Fully Cellular Containership,53822,2003,Hong Kong,Washington Marine Group  ,Canada,Seaspan Corporation  ,Seaspan Corporation  ,Hong Kong,2016-08-26 00:00:00,Alang,India,2016-08-31 00:00:00
MSC Manu,8613322,Fully Cellular Containership,52191,1989,Panama,Washington Marine Group,Canada,Seaspan Marine Corporation ,Seaspan Marine Corporation ,Canada,2016-10-12 00:00:00,Alang,India,2016-10-18 00:00:00
MSC Carole,8618308,Fully Cellular Containership,52191,1989,Panama,Washington Marine Group ,Canada,Seaspan Corporation  ,Seaspan Corporation  ,Hong Kong,2016-12-10 00:00:00,Alang,India,2016-12-17 00:00:00
Peter,8016641,Bulk Carrier,19853,1982,Sierra Leone,Algoma Central Corporation ,Canada,Algoma Central Corporation ,Algoma Central Corporation ,Canada,2016-07-01 00:00:00,Aliaga,Turkey,2016-07-18 00:00:00
Mari,6816607,Bulk Carrier,17820,1968,Sierra Leone,Algoma Central Corporation  ,Canada,Algoma Central Corporation  ,Algoma Central Corporation  ,Canada,2016-05-16 00:00:00,Aliaga,Turkey,2016-06-22 00:00:00
Navi,6707961,Bulk Carrier,18788,1967,Sierra Leone,Algoma Central Corporation  ,Canada,Algoma Central Corporation  ,Algoma Central Corporation  ,Canada,2016-05-26 00:00:00,Aliaga,Turkey,2016-06-25 00:00:00
Spirit of Shpongle,8016639,Bulk Carrier,25128,1985,St. Vincent & Grenadines,The CSL Group Incorporated ,Canada,The CSL Group Incorporated ,The CSL Group Incorporated ,Canada,2016-11-15 00:00:00,Aliaga,Turkey,2016-12-11 00:00:00
Barbie,1005708,Yacht,625,2008,Marshall Islands,Barbie Limited ,Cayman Islands,Barbie Limited ,Barbie Limited ,Cayman Islands,2016-02-04 00:00:00,Aliaga,Turkey,2016-04-06 00:00:00
Tivoli,9146807,Bulk Carrier,17879,1997,Panama,Wisdom Marine Lines Company Limited  ,Cayman Islands,Wisdom Marine Lines Company Limited  ,Lion Maritime S.A.  ,Taiwan,2016-07-21 00:00:00,Chittagong,Bangladesh,2016-09-16 00:00:00
Yuehe,9120750,Fully Cellular Containership,65140,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-09-27 00:00:00,Jiangyin,China,2016-11-19 00:00:00
Hanihe,9139012,Fully Cellular Containership,36772,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-06-30 00:00:00,Zhoushan,China,2016-08-25 00:00:00
Yu Gu He,9139050,Fully Cellular Containership,36772,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-06-30 00:00:00,Zhoushan,China,2016-08-15 00:00:00
Xin Yin He,8318037,Fully Cellular Containership,19237,1984,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-04-16 00:00:00,Xinhui,China,2016-04-15 00:00:00
Feng Shan Hai,9055993,Bulk Carrier,38603,1994,China,China COSCO Shipping Corporation Limited ,China,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,China,2016-03-20 00:00:00,Jiangyin,China,2016-06-06 00:00:00
Buyihe,9139000,Fully Cellular Containership,36772,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-06-30 00:00:00,Xinhui,China,2016-08-11 00:00:00
Jing Po He,9139036,Fully Cellular Containership,36772,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-06-30 00:00:00,Zhoushan,China,2016-08-24 00:00:00
Shan Hai,9155339,Bulk Carrier,27585,1998,China,China COSCO Shipping Corporation Limited ,China,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,China,2016-09-02 00:00:00,Taizhou,China,2016-09-12 00:00:00
Luo Ba He,9139062,Fully Cellular Containership,36772,1998,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-10-02 00:00:00,Zhoushan,China,2016-10-05 00:00:00
Zhong Yuan Qing Dao,9120762,Fully Cellular Containership,65140,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-10-02 00:00:00,Xinhui,China,2016-10-11 00:00:00
Wan He,9120774,Fully Cellular Containership,65140,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-11-02 00:00:00,Zhoushan,China,2016-11-06 00:00:00
Jing He,9120786,Fully Cellular Containership,65140,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-11-10 00:00:00,Jiangyin,China,2016-11-13 00:00:00
Xibohe,9139048,Fully Cellular Containership,36772,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-05-02 00:00:00,Jiangyin,China,2016-11-21 00:00:00
Luhe,9120748,Fully Cellular Containership,65140,1997,China,China COSCO Shipping Corporation Limited ,China,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,China,2016-12-02 00:00:00,Zhoushan,China,2016-12-06 00:00:00
Yang Hai,9162447,Bulk Carrier,27585,1999,China,China COSCO Shipping Corporation Limited ,China,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,China,2016-12-02 00:00:00,Jiangyin,China,2016-12-09 00:00:00
Hua Run Chuang Ye,9100401,Bulk Carrier,25943,1994,China,China COSCO Shipping Corporation Limited ,China,China Shipping Development Company Limited ,China Resources Power Shipping (Tianjin) Company Limited ,China,2016-12-26 00:00:00,Jiangyin,China,2016-12-31 00:00:00
Le Ding,9177507,General Cargo With Container Capacity,15525,1998,China,China Ocean Shipping (Group) Company (COSCO) ,China,Guangzhou Ocean Shipping Company (COSCO Guangzhou) ,Guangzhou Ocean Shipping Company (COSCO Guangzhou) ,China,2015-12-16 00:00:00,Zhangjiagang,China,2015-12-23 00:00:00
Meng Hai,8324191,Bulk Carrier,26982,1985,China,China Ocean Shipping (Group) Company (COSCO) ,China,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,China,2016-03-20 00:00:00,Jiangyin,China,2016-03-25 00:00:00
Gao Zhou Hai,9055967,Bulk Carrier,38712,1994,China,China Ocean Shipping (Group) Company (COSCO) - SEE NOW AS CHINA COSCO SHIPPING CORPORATION LIMITED ,China,COSCO Bulk Carrier Company Limited ,Tianjin Tianhui Shipping Enterprises Company Limited ,China,2016-01-18 00:00:00,Zhoushan,China,2016-03-21 00:00:00
Qinfa 10,9036375,Bulk Carrier,40284,1992,China,China Qinfa Group Limited ,China,Hong Kong Qinfa Shipping Limited ,Zhuhai Qinfa Shipping Company Limited ,China,2016-06-10 00:00:00,Xinhui,China,2016-06-15 00:00:00
Wu Zhou Yi Hao,8412091,Bulk Carrier,35911,1987,China,China Shipping (Group) Company ,China,China Shipping International Ship Management Company Limited Guangzhou Branch ,Chaozhou Xingwang Shipping Company Limited ,China,2016-02-10 00:00:00,Xinhui,China,2016-02-18 00:00:00
Wu Zhou 2,8711112,Bulk Carrier,36042,1989,China,China Shipping (Group) Company ,China,China Shipping International Ship Management Company Limited Guangzhou Branch ,Chaozhou Xingwang Shipping Company Limited ,China,2016-05-10 00:00:00,Xinhui,China,2016-05-20 00:00:00
Tai Hui 3,8405763,Bulk Carrier,22091,1985,China,"Government of China, (The People's Republic of) ",China,"Government of China, (The People's Republic of) ","Government of China, (The People's Republic of) ",China,2016-06-02 00:00:00,Jiangyin,China,2016-06-16 00:00:00
Hang Jun 5 ,7412329,Hopper Dredger,1504,1975,China,"Government of China, (The People's Republic of)  ",China,Nanjing Changjiang Waterway Engineering Bureau  ,Changjiang Wuhan Waterway Engineering Bureau  ,China,2016-08-22 00:00:00,Chittagong,Bangladesh,2016-09-07 00:00:00
Bei Lun Hai 18,8800107,Bulk Carrier,36433,1990,China,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited ,China,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited ,Ningbo Economic & Technological Development Zone Longsheng Shipping Company Limited ,China,2016-10-11 00:00:00,Jiangyin,China,2016-10-14 00:00:00
Li Bai ,8513704,General Cargo With Container Capacity,13843,1988,China,Shanghai CP International Ship Management & Broker Company Limited  ,China,Shanghai CP International Ship Management & Broker Company Limited  ,Shanghai Hongfa Shipping Company  ,China,2016-05-06 00:00:00,Alang,India,2016-05-12 00:00:00
Tang Shan Hai 3,9000924,Bulk Carrier,23277,1991,China,Tangshan Huaxing Shipping Company Limited ,China,Tangshan Huaxing Shipping Company Limited ,Tangshan Huaxing Shipping Company Limited ,China,2016-01-10 00:00:00,Jiangyin,China,2016-01-16 00:00:00
Chang Ming Sheng,9052862,Bulk Carrier,35874,1993,China,Tianjin Chang Ming Shipping Group Company Limited ,China,Tianjin Chang Ming Shipping Group Company Limited ,Tianjin Chang Ming Shipping Group Company Limited ,China,2016-06-02 00:00:00,Jiangmen,China,2016-06-08 00:00:00
Clio,7632412,Bulk Carrier,15189,1977,Comoros,Fujian Huarong Marine Shipping Company Limited ,China,Fujian Huarong Marine Shipping Company Limited ,Asia Star Shipping Limited ,Hong Kong,2015-11-26 00:00:00,Alang,India,2016-01-21 00:00:00
King,8712477,Bulk Carrier,36131,1989,Comoros,Shandong Shipping Corporation (Shandong Shipping Company Limited) ,China,Shandong Province Marine Shipping Company ,Sheng Da Shipping S.A. ,China,2016-09-01 00:00:00,Gadani,Pakistan,2016-11-19 00:00:00
Szymanowski ,8821929,General Cargo With Container Capacity,18184,1991,Cyprus ,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK)  ,China,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK)  ,Szymanowski Shipping Company Limited  ,Cyprus,2016-08-26 00:00:00,Alang,India,2016-09-03 00:00:00
Nicetec,9002178,Wood-Chip Carrier,44802,1991,Hong Kong,Adani Shipping (China) Company Limited ,China,Adani Shipping (China) Company Limited ,NICETEC Maritime Limited ,Hong Kong,2016-02-02 00:00:00,Chittagong,Bangladesh,2016-02-26 00:00:00
Yong Jia,9236183,Bulk Carrier,40437,2001,Hong Kong,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Silvercord Shipping Limited ,Hong Kong,2016-04-20 00:00:00,Jiangyin,China,2016-05-30 00:00:00
Hua Qiang,9144495,Bulk Carrier,26062,1998,Hong Kong,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Gainlink Shipping Limited ,Hong Kong,2016-05-20 00:00:00,Jiangyin,China,2016-05-29 00:00:00
Tian Tong Feng,9233363,Bulk Carrier,39042,2001,Hong Kong,China COSCO Shipping Corporation Limited ,China,COSCO Bulk Carrier Company Limited ,Jin Peng Nav. ,Panama,2016-04-16 00:00:00,Zhangjiagang,China,2016-04-21 00:00:00
Richmond,9109483,Bulk Carrier,36559,1996,Hong Kong,China COSCO Shipping Corporation Limited  ,China,COSCO Shanghai Ship Management Company Limited (COSHIPMAN)  ,Surplus Transportation Limited  ,China,2016-09-01 00:00:00,Chittagong,Bangladesh,2016-09-06 00:00:00
Tian Song Feng,9214070,Bulk Carrier,39042,2000,Hong Kong,China Ocean Shipping (Group) Company (COSCO) ,China,China Ocean Shipping (Group) Company (COSCO) ,Jin Ying Navigation Incorporated ,Hong Kong,2016-01-16 00:00:00,Jiangyin,China,2016-01-21 00:00:00
Tian Du Feng,9203497,Bulk Carrier,38767,2001,Hong Kong,China Shipping (Group) Company ,China,China Shipping International Ship Management Company Limited Guangzhou Branch ,Jin Lu Navigation Incorporated ,Panama,2016-05-26 00:00:00,Zhangjiagang,China,2016-06-02 00:00:00
Tian Yang Feng,9227699,Bulk Carrier,38860,2000,Hong Kong,China Shipping (Group) Company - SEE NOW AS CHINA COSCO SHIPPING CORPORATION LIMITED ,China,China Shipping (Hong Kong) Marine Company Limited ,Jin He Navigation Incorporated ,Hong Kong,2016-01-16 00:00:00,Jiangyin,China,2016-01-22 00:00:00
Jia Xing,8821955,General Cargo With Container Capacity,18177,1992,Hong Kong,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK) ,China,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK) ,Yongxing Maritime Company Limited ,Hong Kong,2016-10-27 00:00:00,Gadani,Pakistan,2016-12-17 00:00:00
Fareast Sunny,8819201,Bulk Carrier,23270,1989,Hong Kong,Jiangsu Far East Shipping Company Limited  ,China,Jiangsu Far East Shipping Company Limited  ,Fareast Sunny Shipping S.A.  ,Hong Kong,2016-07-21 00:00:00,Chittagong,Bangladesh,2016-08-13 00:00:00
Golden Trust,9146728,Bulk Carrier,85902,1996,Hong Kong,Jiangsu Huaxi Group Corporation  ,China,Jiangsu Steamship Company Limited  ,Golden Huaren Shipping Company Limited  ,China,2016-04-28 00:00:00,Gadani,Pakistan,2016-05-26 00:00:00
Fu Tian,8514289,Bulk Carrier,4843,1986,Hong Kong,Shenzhen Shekou Shipping & Transportation Company Limited ,China,Shenzhen Shekou Shipping & Transportation Company Limited ,Shenzhen Shekou Shipping & Transportation Company Limited ,China,2016-02-05 00:00:00,Alang,India,2016-02-13 00:00:00
Sing Fu Star,9136577,Bulk Carrier,83658,1996,Liberia,Hong Da International Group Holdings Company Limited ,China,Jiuzhou Shipping Company Limited ,Team Power Shipping Limited ,Hong Kong,2016-09-01 00:00:00,Chittagong,Bangladesh,2016-10-23 00:00:00
Gas Jade,8501543,Liquefied Petroleum Gas Carrier,10195,1987,Liberia,Sino Gas & Energy Holdings Limited  ,China,Sino Gas & Energy Limited  ,Ocean Victory Limited  ,Singapore,2016-09-02 00:00:00,Alang,India,2016-09-16 00:00:00
Wieniawski ,8821931,General Cargo With Container Capacity,18208,1992,Malta,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK)  ,China,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK)  ,Wieniawski Maritime Company Limited  ,Cyprus,2016-08-03 00:00:00,Alang,India,2016-08-15 00:00:00
Arina,9128221,Bulk Carrier,38520,1997,Niue,Shanghai Puyuan Shipping Company Limited  ,China,Shanghai Puyuan Shipping Company Limited  ,Ching Yee Company Limited  ,China,2016-04-28 00:00:00,Chittagong,Bangladesh,2016-06-09 00:00:00
Pacific Pioneer,9074482,Bulk Carrier,36708,1994,Panama,ATL Shipping Limited ,China,ATL Shipping Limited ,Goldmax Development Limited ,British Virgin Islands,2016-12-08 00:00:00,Chittagong,Bangladesh,2016-12-08 00:00:00
Tianshunhai,9203124,Bulk Carrier,87625,2000,Panama,China COSCO Shipping Corporation Limited ,China,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Sea Lansa S.A. ,Panama,2016-05-10 00:00:00,Zhoushan,China,2016-05-19 00:00:00
Tianronghai,9203112,Bulk Carrier,87625,2000,Panama,China COSCO Shipping Corporation Limited ,China,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Sea Lansa S.A. ,Panama,2016-05-10 00:00:00,Jiangyin,China,2016-05-18 00:00:00
Tu Qiang,9154581,Bulk Carrier,26078,1998,Panama,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Strongfull Shipping Incorporated ,Panama,2016-05-14 00:00:00,Xinhui,China,2016-05-16 00:00:00
Jian Qiang,9123623,Bulk Carrier,26790,1996,Panama,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Jetway Shipping Corporation S.A. ,Hong Kong,2016-09-16 00:00:00,Jiangyin,China,2016-09-26 00:00:00
Fu Hua,9154103,Bulk Carrier,37937,1997,Panama,China COSCO Shipping Corporation Limited ,China,COSCO (HK) Shipping Company Limited ,Arsun Shipping Incorporated ,Panama,2016-10-20 00:00:00,Zhangjiagang,China,2016-10-27 00:00:00
COSCO Ran,9247869,Fully Cellular Containership,8917,2001,Panama,China COSCO Shipping Corporation Limited ,China,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,COSCO Ran Shipping Limited ,Panama,2016-11-20 00:00:00,Zhangjiagang,China,2016-11-23 00:00:00
COSCO Sakura,9247857,Fully Cellular Containership,8917,2001,Panama,China COSCO Shipping Corporation Limited ,China,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,COSCO Sakura Shipping Limited ,Panama,2016-11-16 00:00:00,Xinhui,China,2016-11-23 00:00:00
U Happy,9130626,Wood-Chip Carrier,36712,1996,Panama,China COSCO Shipping Corporation Limited  ,China,COSCO Shanghai Ship Management Company Limited (COSHIPMAN)  ,UHappy Shipping Private Limited  ,Panama,2016-05-19 00:00:00,Chittagong,Bangladesh,2016-06-25 00:00:00
ZOSCO Zhoushan,9075656,Bulk Carrier,75871,1994,Panama,China Ocean Shipping (Group) Company (COSCO) ,China,Zhejiang Ocean Shipping Company Limited (ZOSCO) ,Zosco Zhoushan Shipping Corporation ,Hong Kong,2016-01-18 00:00:00,Chittagong,Bangladesh,2016-02-12 00:00:00
Hanhai,9110286,Bulk Carrier,26063,1996,Panama,China Ocean Shipping (Group) Company (COSCO) ,China,COSCO Bulk Carrier Company Limited ,Pinghai Shipping Incorporated ,Panama,2016-05-29 00:00:00,Xinhui,China,2016-06-04 00:00:00
Lihai,9159464,Bulk Carrier,26829,1998,Panama,China Ocean Shipping (Group) Company (COSCO) ,China,COSCO Bulk Carrier Company Limited ,Lihai Maritime Incorporated ,Panama,2016-05-29 00:00:00,Jiangyin,China,2016-06-04 00:00:00
