VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,NAME,OWNERSHIP,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,DESTINATION,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
S ANAN,9106883,Container Ship,9675,4577,1996,Palau,Thailand,Anan Bhum,Regional Container Lines PCL,Thailand,COSCO Shipping Lines Co Ltd,Regional Container Lines Pte,Singapore,Chittagong,Bangladesh,2019-03-01 00:00:00,,
UNIQUE 6,7434482,LPG Tanker,1196,,1976,Thailand,,,SIAM GAS,Thailand,SIAM GAS,SIAM GAS,Thailand,Bangkok,Thailand,2019-11-01 00:00:00,,
BANGSAPHAN,8103339,General Cargo Ship,4787,2394,1981,Thailand,,,Wong Samut Navigation Co Ltd,Thailand,Wong Samut Navigation Co Ltd,WongSamut Maritime,Thailand,Chittagong,Bangladesh,2019-09-01 00:00:00,,
TWENTY SIX,7720192,General Cargo Ship,1995,,1994,Panama,,,ABC Seagroup,Turkey,ABC Shipchandler & Shipping Co,ABC Shipchandler & Shipping Co,Marshall Islands,Aliaga,Turkey,2019-05-01 00:00:00,,
BERIL,7600720,Ro-Ro Cargo Ship,4975,2752,1977,Moldova,,,Akdeniz Roro Deniz Tasimaciligi Turizm Sanayi ve Ticaret Limited Sirketi ,Turkey,Akdeniz Roro Deniz Tasima,Maya RoRo SA,Marshall Islands,Alang,India,2019-05-01 00:00:00,,
DIAMOND K,7435046,General Cargo,1685,,1977,Togo,Tanzania,,Alcor Uluslarasi Tasimacilik Denizcilik Ticaret Limited Sirketi,Turkey,CK Trade Inc,CK Trade Inc,Marshall Islands,Aliaga,Turkey,2019-03-01 00:00:00,,
HORIZON,7203637,Passenger/Roro Cargo/Ferry,7707,3658,1971,Sierra Leone,,,Aras Deniz Insaat AS,Turkey,Pelican Denizcilik San Tic Ltd,Pelican Denizcilik San Tic Ltd,Turkey,Aliaga,Turkey,2019-01-01 00:00:00,,
NILA,8230314,General Cargo Ship,2457,1567,1977,Togo,,Alnilam,Armada Shipping & Chartering,Turkey,Armada Shipping & Chartering,Caprica Shipping & Trading Ltd,Marshall Islands,Aliaga,Turkey,2019-03-01 00:00:00,,
CARLA 1,9068299,General Cargo Ship,570,,1969,Unknown,,,Butoni Denizcilik ve Ticaret A.S,Turkey,Dogan Denizcilik ve Ticaret AS,Dogan Denizcilik ve Ticaret AS,Turkey,Aliaga,Turkey,2019-05-01 00:00:00,,
YUSUF CELAL,7937874,General Cargo Ship,994,,1978,Turkey,,,Coskun Denizcilik Lojistik Petrol Urunleri Insaat Sanayi ve Ticaret A.S.,Turkey,OF Denizcilik Ticaret AS,Coskun Denizcilik Lojistik,Turkey,Aliaga,Turkey,2019-07-01 00:00:00,,
MURAT,7431131,General Cargo Ship,2920,,1977,Comoros,Turkey,,Efemay Denizcilik ve Ticaret,Turkey,Efemay Denizcilik ve Ticaret,Efemay Denizcilik ve Ticaret,Turkey,Aliaga,Turkey,2019-04-01 00:00:00,,
DENIZ ER B,7901801,General Cargo Ship,1973,,1983,Turkey,,,Erdur Denizcilik Sanayi,Turkey,Erdur Denizcilik Sanayi,Erdur Denizcilik Sanayi,Turkey,Aliaga,Turkey,2019-11-01 00:00:00,,
