VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,NAME,OWNERSHIP,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,DESTINATION,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
S TWO,8753756,"Platform, Jack-Up (Self-Elev.)",5838,8665,1979,Palau,,Ensco 82,ENSCO Plc,United Kingdom,ENSCO Offshore Co,ENSCO Offshore Co,United States Of America,Alang,India,2019-01-01 00:00:00,,
S ONE,8753744,"Platform, Jack-Up (Self-Elev.)",5838,8842,1979,Palau,,Ensco 81,ENSCO Plc,United Kingdom,ENSCO Offshore Co,ENSCO Offshore Co,United States Of America,Alang,India,2019-01-01 00:00:00,,
LADY MELIS,9044920,Bulk Carrier,16145,6563,1992,Comoros,,,Serna Group LLP,United Kingdom,Serna Group LLP,Lerta Trading Ltd,Seychelles,Aliaga,Turkey,2019-05-01 00:00:00,,
MOURATO,7400704,Liquefied Gas Tanker,81265,11410,1980,Palau,Algeria,Mourad Didouche,Sonatrach Petroleum Corp,United Kingdom,Hyproc Shipping Co,Hyproc Shipping Co,Algeria,Chittagong,Bangladesh,2019-02-01 00:00:00,,
BAROU,8109395,LPG Tanker,6325,3423,1983,Algeria,,Barouda,Sonatrach Petroleum Corp,United Kingdom,Hyproc Shipping Co,Hyproc Shipping Co,Algeria,Alang,India,2019-06-01 00:00:00,,
TEMUS,8322662,Diving Support Vessel,4782,3835,1985,Palau,Liberia,Altus Optimus,Subsea 7 MS Ltd,United Kingdom,Subsea 7 Int'l Contracting Ltd,Subsea 7 Shipping Ltd,Isle Of Man,Alang,India,2019-06-01 00:00:00,,
ROCKWATER 1,8211746,Diving Maintenance Support,4905,,1983,Bahamas,,,Subsea 7 SA,United Kingdom,Subsea 7 Vessel Management,Subsea 7 Ltd,United Kingdom,Leith,United Kingdom,2019-01-01 00:00:00,,
KWEICHOW,9070694,General Cargo Ship,18451,9432,1994,Hong Kong,,,Swire & Sons Ltd,United Kingdom,China Navigation Co Pte Ltd,China Navigation Co Pte Ltd,Singapore,Alang,India,2019-06-01 00:00:00,,
KWANGTUNG,9070709,General Cargo Ship,18451,9449,1994,Hong Kong,,,Swire & Sons Ltd,United Kingdom,China Navigation Co Pte Ltd,China Navigation Co Pte Ltd,Singapore,Alang,India,2019-12-01 00:00:00,,
BLACK ROVER,7329338,Replenishment Tanker,7892,4830,1974,United Kingdom,,,United Kingdom Govt,United Kingdom,United Kingdom Govt CRFA,United Kingdom Govt,United Kingdom,Aliaga,Turkey,2019-09-01 00:00:00,,
GOLD ROVER,7306221,Replenishment Tanker,7894,4830,1974,United Kingdom,,,United Kingdom Govt,United Kingdom,United Kingdom Govt CRFA,United Kingdom Govt CRFA,United Kingdom,Aliaga,Turkey,2019-09-01 00:00:00,,
ZARA,9182667,Crude/Oil Products Tanker,40516,13783,2000,Comoros,Liberia,,Apollo Global Management LLC,United States Of America,ProPer In Management Inc,Ballito Bay Shipping Inc,Liberia,Chittagong,Bangladesh,2019-11-01 00:00:00,,
MANILA-1,9204972,Container Ship (Fully Cellular),26047,11630,2000,Comoros,Liberia,,Apollo Global Management LLC,United States Of America,MSC Mediterranean Shipping Co,SOMANILA Co Ltd,Isle Of Man,Chittagong,Bangladesh,2019-12-01 00:00:00,,
SPIRIT,9178288,Container Ship (Fully Cellular),26047,11481,2000,Palau,Liberia,Spirit Of Colombo,Apollo Global Mangement LLC,United States Of America,MSC Mediterranean Shipping Co,SOCOL Co Ltd,Isle Of Man,Chittagong,Bangladesh,2019-06-01 00:00:00,,
WORKER,8753677,"Platform, Semi-Submersible",14071,12128,1982,Palau,Marshall Islands,Ocean Worker,Diamond Offshore Drilling Inc,United States Of America,Diamond Offshore Netherlands,Diamond Offshore Ltd,Marshall Islands,Alang,India,2019-01-01 00:00:00,,
WHITTINGTON,8755871,"Platform, Semi-Submersible",9914,,1974,Palau,Marshall Islands,,Diamond Offshore Services Co,United States Of America,Diamond Offshore Drilling Serv,Diamond Offshore Services Co,United States Of America,Alang,India,2019-01-01 00:00:00,,
SOM SILVER,7522100,Trailing Suction Hopper Dredger,5601,,1977,St Kitts & Nevis,Marshall Islands,,Great Lakes Dredge & Dock Co,United States Of America,Great Lakes Dredge & Dock Co,Great Lakes Dredge & Dock Co,United States Of America,Alang,India,2019-06-01 00:00:00,,
OSPREY,8109773,Tug,559,,1982,United States Of America,,,Kirby Offshore Marine LLC,United States Of America,Kirby Offshore Marine Op,Kirby Offshore Marine Op,United States Of America,Brownsville,United States of America,2019-03-01 00:00:00,,
ATC 25,8645026,"Tank Barge, Pushed",12271,,1981,United States Of America,,,Kirby Offshore Marine LLC,United States Of America,Kirby Offshore Marine Op,Kirby Offshore Marine Op,United States Of America,Brownsville,United States of America,2019-03-01 00:00:00,,
VIKING,7235202,Tug,608,,1972,United States Of America,,,Kirby Offshore Marine LLC,United States Of America,K-Sea Operating LLC,Kirby Offshore Marine LLC,United States Of America,Brownsville,United States of America,2019-04-01 00:00:00,,
MAUI,7602338,Container Ship (Fully Cellular),25630,14059,1978,United States Of America,,,Matson Inc,United States Of America,Matson Navigation Co Inc,Matson Navigation Co Inc,United States Of America,Brownsville,United States of America,2019-06-01 00:00:00,,
MATSON PRODUCER,7366312,Container Ship (Fully Cellular),25644,13797,1974,United States Of America,,,Matson Inc,United States Of America,Matson Navigation Co Inc,Matson Navigation Co Inc,United States Of America,Brownsville,United States of America,2019-12-01 00:00:00,,
NOBLE HOMER FERRINGTON,8755338,"Drilling Rig, semi Submersible",14401,,1984,Cameroon,Liberia,Noble Shelf 4,Noble Corp,United States Of America,Noble Drilling Services Inc,Noble Leasing III Switzerland,Switzerland,Aliaga,Turkey,2019-01-01 00:00:00,,
NOBLE AMOS RUNNER,8756306,"Drilling Rig, semi Submersible",14888,,1982,Liberia,,,Noble Corp,United States Of America,Noble Drilling Services Inc,Noble Holding International,Luxembourg,Brownsville,United States of America,2019-04-01 00:00:00,,
DECATHLON,9159684,Tanker,80668,23172,1999,Comoros,Liberia,Nordic Sprite,Nordic American Tankers Ltd,United States Of America,NAT Chartering Ltd,Nordic American Tankers Ltd,Bermuda,Chittagong,Bangladesh,2019-01-01 00:00:00,,
SPYROS K,9159672,Tanker,80668,23098,1999,Comoros,Liberia,,Nordic American Tankers Ltd,United States Of America,NAT Chartering Ltd,Nordic American Tankers Ltd,Bermuda,Chittagong,Bangladesh,2019-01-01 00:00:00,,
OCEAN PHOENIX,6413924,Fish Factory Ship,17845,,1964,United States Of America,,,Phoenix Processor LP,United States Of America,Phoenix Processor LP,Phoenix Processor LP,United States Of America,Brownsville,United States of America,2019-08-01 00:00:00,,
RAYSUT II,8317332,Cement Carrier,10880,5233,1984,Palau,Panama,,Resolve Marine Group Inc,United States Of America,Resolve Salvage & Fire Europe,Resolve Salvage & Fire Europe,United Kingdom,Alang,India,2019-04-01 00:00:00,,
CALIFORNIA,8754528,"Drilling Rig, jack up",6273,,1983,St Kitts & Nevis,Marshall Islands,Rowan California,Rowan Companies Inc,United States Of America,Rowan Companies Inc,Rowan California Sarl,Luxembourg,Alang,India,2019-11-01 00:00:00,,
KURPA,7932202,Articulated Pusher Tug,1953,10977,1982,Comoros,United States of America,,Schuyler Line Navigation Co,United States of America,Schuyler Line Navigation Co,Moku Pahu Holdings LLC,St Vincent & The Grenadines,Alang,India,2019-04-01 00:00:00,,
TC-1,8645973,"General Cargo Barge, non propelled",20804,,1982,Comoros,United States Of America,HSTC-1,Schuyler Line Navigation Company ,United States Of America,Schuyler Line Navigation Co,Moku Pahu Holdings LLC,United States Of America,Alang,India,2019-04-01 00:00:00,,
SEABULK TIMS I,7912812,Offshore Tug/Supply Ship,1424,,1979,Panama,,,Seabulk International Inc,United States Of America,Seabulk Offshore Dubai Inc,Seabulk Tims/Timsah,Panama,Aliaga,Turkey,2019-04-01 00:00:00,,
COLLARD,9354961,Tug/Supply Ship (O.R.S.V.),1798,1647,2005,Palau,Vanuatu,Collard Tide,Tidewater Inc,United States Of America,Tidewater Marine Intl Inc-UAE,Tidewater Marine Intl Inc,Cayman Islands,Alang,India,2019-01-01 00:00:00,,
DAVID TIDE II,9528093,Tug/Supply Ship (O.R.S.V.),1529,1438,2009,Palau,Vanuatu,,Tidewater Inc,United States Of America,Tidewater Marine LLC,VTG Ships Ltd,Cayman Islands,Alang,India,2019-01-01 00:00:00,,
LEONARD,9355800,Tug/Supply Ship (O.R.S.V.),2258,1933,2006,Palau,Vanuatu,Leonard Tide,Tidewater Inc,United States Of America,Tidewater Marine Intl Inc-UAE,Violet Fleet Ltd,Cayman Islands,Alang,India,2019-03-01 00:00:00,,
RICHARD,9259783,Tug/Supply Ship (O.R.S.V.),4544,5390,2005,Palau,Vanuatu,Richard M. Currence,Tidewater Inc,United States Of America,Tidewater Marine Intl Inc-UAE,Java Boat Corp BV,Netherlands,Alang,India,2019-03-01 00:00:00,,
OURGE,9273466,Platform Supply Ship,1624,1620,2004,Palau,Vanuatu,Bourgeois Tide,Tidewater Inc,United States Of America,Sonatide Marine Services Ltd,Point Marine LLC,United States Of America,Alang,India,2019-04-01 00:00:00,,
SABANDO,9494307,Anchor Handling Tug Supply,2538,2195,2008,Gabon,Vanuatu,Sabando Tide,Tidewater Inc,United States Of America,Sonatide Marine Services Ltd,Aqua Fleet Ltd,Cayman Islands,Alang,India,2019-07-01 00:00:00,,
JOHN,9259771,Anchor Handling Tug Supply,4544,5144,2004,Gabon,Vanuatu,John P Laborde,Tidewater Inc,United States Of America,Tidewater Marine Intl Inc-CAM,Java Boat Corp BV,Netherlands,Alang,India,2019-08-01 00:00:00,,
DU MOULIN,9355795,Anchor Handling Tug Supply,2258,1872,2006,Gabon,Vanuatu,Du Moulin Tide,Tidewater Inc,United States Of America,Sonatide Marine Services Ltd,Tidewater Properties Ltd,Cayman Islands,Alang,India,2019-08-01 00:00:00,,
WIGGINS,9263978,Offshore Support Vessel,2421,1732,2002,Gabon,Vanuatu,Wiggins Tide,Tidewater Inc,United States Of America,Sonatide Marine Services Ltd,Tidewater Assets Ltd,Cayman Islands,Alang,India,2019-08-01 00:00:00,,
MAHNKE,9336220,Anchor Handling Tug Supply,1759,1755,2006,Gabon,Vanuatu,Mahnke Tide,Tidewater Inc,United States Of America,SOCOPAO,Green Fleet Ltd,Cayman Islands,Alang,India,2019-08-01 00:00:00,,
BIG JOE,9302528,Anchor Handling Tug Supply,2223,1724,2005,Gabon,Vanuatu,Big Joe Tide,Tidewater Inc,United States Of America,SOCOPAO,Tidewater Assets Ltd,Cayman Islands,Alang,India,2019-09-01 00:00:00,,
MENENDEZ,9305738,Anchor Handling Tug Supply,1807,1790,2005,Gabon,Vanuatu,Menendez Tide,Tidewater Inc,United States Of America,Tidex Nigeria Ltd,Tidewater Maritime Ltd,Cayman Islands,Alang,India,2019-09-01 00:00:00,,
RAVEN TIDE,7429164,Tug/Supply Ship (O.R.S.V.),1330,,1976,Unknown,,,Tidewater Incorporated,United States of America,Blueland Shipping Inc,Blueland Shipping Inc,Panama,Niteroi,Brazil,2019-01-01 00:00:00,,
WILBERT,9268435,Anchor Handling Tug Supply,1598,1614,2002,Gabon,Vanuatu,Wilbert Tide,Tidewater Marine LLC,United States Of America,Tidex Nigeria Ltd,Gulf Fleet Middle East Ltd,Cayman Islands,Alang,India,2019-11-01 00:00:00,,
OZREN,9527972,Anchor Handling Tug Supply,2538,2222,2009,Gabon,Vanuatu,Ozren Tide,Tidewater Marine LLC,United States Of America,Tidewater Marine Intl Inc-UAE,Aqua Fleet,Cayman Islands,Alang,India,2019-11-01 00:00:00,,
SONGA DELTA,8756590,"Platform, Semi-Submersible",23535,43521,1981,Norway,,,Transocean Inc,United States Of America,Songa Offshore Rig AS,Songa Offshore Delta Ltd,Cyprus,Aliaga,Turkey,2019-01-01 00:00:00,,
JACK BATES,8755780,"Platform, Semi-Submersible",29135,23015,1986,Marshall Islands,,,Transocean Inc,United States Of America,Transocean Inc,Deepwater Pacific 1 Inc,British Virgin Islands,Alang,India,2019-02-01 00:00:00,,
TRANSOCEAN 706,8755144,"Platform, Semi-Submersible",17164,,1976,Liberia,,,Transocean Inc,United States Of America,Transocean Inc,Transocean Drilling Offsh-LUX,Luxembourg,Aliaga,Turkey,2019-03-01 00:00:00,,
DEEPWATER MILLENNIUM,9180229,Drilling Ship,60083,30318,1999,Tuvalu,Marshall Islands,,Transocean Inc ,United States Of America,Transocean Inc ,Transocean Offshore Intl-CAY,Cayman Islands,Alang,India,2019-11-01 00:00:00,,
DISCOVERER SPIRIT,9212797,Drilling Ship,63190,,1999,Marshall Islands,,,Transocean Inc ,United States Of America,Transocean Inc ,Triton Asset Leasing GmbH,Switzerland,Aliaga,Turkey,2019-12-01 00:00:00,,
DEEPWATER FRONTIER,9170224,Drilling Ship,60083,30527,1999,Vanuatu,,,Transocean Inc ,United States Of America,Transocean Inc ,Transocean Offshore Intl-CAY,Cayman Islands,Alang,India,2019-12-01 00:00:00,,
DISCOVERER DEEP SEAS,9212802,Drilling Ship,63190,,2000,Marshall Islands,,,Transocean Inc ,United States Of America,Transocean Inc ,Triton Asset Leasing GmbH,Switzerland,Aliaga,Turkey,2019-12-01 00:00:00,,
GSF C. R. LUIGS,9189835,Drilling Ship,47079,,2000,Vanuatu,,,Transocean Incorporated,United States of America,Transocean Inc,GlobalSantaFe Drilling Co,United States Of America,Aliaga,Turkey,2019-01-01 00:00:00,,
CAPE ARCHWAY,5004283,General Cargo Ship,11310,,1963,United States Of America,,,United States Govt,United States Of America,United States Govt MARAD,United States Govt MARAD,United States Of America,Brownsville,United States of America,2019-11-01 00:00:00,,
CAPE ALEXANDER,5004257,General Cargo Ship,11580,,1962,United States Of America,,,United States Govt,United States Of America,United States Govt MARAD,United States Govt MARAD,United States Of America,Brownsville,United States of America,2019-11-01 00:00:00,,
SAHARA,6600826,Research Survey Vessel,3604,,1966,Unknown,,,Unknown,Unknown,G Shipping Ltd,G Shipping Ltd,Malta,Unknown,Mexico,2019-01-01 00:00:00,,
MEERA 5,8319110,General Cargo Ship,5654,2312,1984,Moldova,,,Unknown,Unknown,HMK Ships & Boats Trading Co,Ahsan Logistics SA,Panama,Gadani,Pakistan,2019-04-01 00:00:00,,
MED SCOUT,8211966,Research Survey Vessel,639,668,1983,Panama,,,Unknown,Unknown,Amancio Shipping Corp,Harpo Marine SA,Marshall Islands,Aliaga,Turkey,2019-04-01 00:00:00,,
RAINBOW-H,7521132,General Cargo Ship,2978,1756,1976,Togo,Sierra Leone,,Unknown,Unknown,HR Brothers Maritime Shipping,HR Brothers Maritime Shipping,Honduras,Alang,India,2019-04-01 00:00:00,,
PINE 20,8122892,Crude/Oil Products Tanker,2894,1816,1982,Mongolia,,,Unknown,Unknown,Success Blossom Trading Pte,Seatrout Management Ltd,British Virgin Islands,Chittagong,Bangladesh,2019-04-01 00:00:00,,
CAROL V,7622182,General Cargo Ship,1986,1590,1977,Unknown,Panama,,Unknown,Unknown,Transporte Y Logistica,Coral Maritime Trading Ltd,Marshall Islands,Colon,Panama,2019-05-01 00:00:00,,
WISDOM,7626877,General Cargo Ship,1968,1342,1977,Unknown,Panama,,Unknown,Unknown,Enridan Management SA,Transpacific Trade Shipping SA,Panama,Colon,Panama,2019-05-01 00:00:00,,
TEXIS,9080508,Crude Oil Tanker,26218,9467,1996,Palau,Panama,,Unknown,Unknown,Aemilia Shipping Co Ltd,Aemilia Shipping Co Ltd,Seychelles,Chittagong,Bangladesh,2019-05-01 00:00:00,,
HASAN KAPTAN,8129319,Bulk Carrier,5784,3042,1985,Togo,,,Unknown,Unknown,GMZ Ship Management Co SA,Al Huda Shipping Co SA,Panama,Alang,India,2019-05-01 00:00:00,,
WAVE 2,9038751,Products Tanker,25060,7185,1992,Palau,Panama,,Unknown,Unknown,Monte Nero Maritime SA,Peninsula Maritime Co SA,Panama,Chittagong,Bangladesh,2019-05-01 00:00:00,,
ALAGUA,7722372,Products Tanker ,3226,2133,1978,Indonesia,,Calaguas,Unknown,Unknown,Unknown,Unknown,Unknown,Chittagong,Bangladesh,2019-05-01 00:00:00,,
ORCAL,8914544,Container Ship (Fully Cellular),7676,3729,1991,Comoros,Sierra Leone,Orca 2,Unknown,Unknown,Avena Maritime SA,Avena Maritime SA,Liberia,Alang,India,2019-05-01 00:00:00,,
WARRIOR,9143685,Chemical/Products Tanker,29956,12255,1999,Cook Islands,Dominica,,Unknown,Unknown,Yong Li International Trading,Yong Li International Trading,Singapore,Chittagong,Bangladesh,2019-06-01 00:00:00,,
GAS PUFFIN,8912194,Liquefied Gas Tanker,7095,4426,1991,Panama,,,Unknown ,Unknown ,Safesol Shipping FZE,Puffin Shipping SA,Marshall Islands,Alang,India,2018-12-01 00:00:00,,
ZAIN,8804775,General Cargo,646,459,1988,Tanzania (Zanzibar),,,Unknown ,Unknown ,Oussi United Marine Inc,Oussi United Marine Inc,Panama,Aliaga,Turkey,2019-01-01 00:00:00,,
MING HANG 8,8224432,Refrigerated Cargo,9092,4961,1984,Panama,,,Unknown ,Unknown ,Minghang International-HKG,Minghang International-HKG,"Hong Kong, China",Chittagong,Bangladesh,2019-01-01 00:00:00,,
ORANGE WIND,9061239,General Cargo,4032,2340,1994,Sierra Leone,,,Unknown ,Unknown ,Orange Marine Co Ltd,Power Transportation Ltd,"Hong Kong, China",Chittagong,Bangladesh,2019-01-01 00:00:00,,
T BHUM,9072525,Container Ship,11788,4965,1994,St Kitts & Nevis,Singapore,Yossa Bhum,Unknown ,Unknown ,Regional Container Lines PCL,Regional Container Lines PCL,Thailand,Chittagong,Bangladesh,2019-01-01 00:00:00,,
TAXIARCHIS S,6913340,General Cargo Ship,1428,,1969,Greece,,,Unknown ,Unknown ,Taxiarchis Spopelou Maritime,Taxiarchis Spopelou Maritime,Greece,Aliaga,Turkey,2019-01-01 00:00:00,,
SONNY,9050670,Tanker,4847,2485,1994,Liberia,,,Unknown ,Unknown ,Central Ship Management DMCC,Channon Shipping Ltd,Liberia,Aliaga,Turkey,2019-01-01 00:00:00,,
VEGA BULK,7233060,General Cargo,2677,700,1973,Panama,,,Unknown ,Unknown ,Arabella Enterprises Corp,Gramelcan SL,Spain,Canary Islands,Spain,2019-02-01 00:00:00,,
SOTRA,8890401,General Cargo,1528,,1994,Moldova,,,Unknown ,Unknown ,Sorta Ship Management Srl,Mowat Corp,Belize,Aliaga,Turkey,2019-02-01 00:00:00,,
INTAN,6817273,Fso,92889,39830,1968,Liberia,,,Unknown ,Unknown ,Omni Offshore Terminals Ops,Bamber Navigation Inc,Liberia,Alang,India,2019-02-01 00:00:00,,
OAK,9047374,Tanker,28277,9002,1993,St Kitts & Nevis,,Oaktree,Unknown ,Unknown ,Capricorn Maritime Ltd-MAI,Capricorn Maritime Ltd-MAI,Marshall Islands,Chittagong,Bangladesh,2019-02-01 00:00:00,,
DIAMOND SUN,8701923,Bulk Carrier,8897,4903,1990,Tanzania (Zanzibar),,,Unknown ,Unknown ,Aland Shipping Ltd,Aland Shipping Ltd,Marshall Islands,Alang,India,2019-03-01 00:00:00,,
REINA,8202226,Refrigerated Cargo,3138,2010,1982,Liberia,,,Unknown ,Unknown ,Arctic Shipping LLC,Ample United Investment Ltd,"Hong Kong, China",Alang,India,2019-03-01 00:00:00,,
WEST OCEAN 1,7638492,General Cargo,3039,1771,1977,Mongolia,Philippines,,Unknown ,Unknown ,West Ocean Lines & Transport,West Ocean Lines & Transport,Philippines,Chittagong,Bangladesh,2019-03-01 00:00:00,,
MARIA FE,8515922,Supply Ship (O.R.S.V.),1109,1078,1986,Panama,,,Unknown ,Unknown ,Phil Marine Consultancy FZC,Raneses EU,Cyprus,Gadani,Pakistan,2019-03-01 00:00:00,,
ANT,8814433,Crude/Oil Products Tanker,24731,8451,1992,Gabon,Cook Islands,,Unknown ,Unknown ,Jin Hao Ship Management Co Ltd,Golden Luxury Corp,Belize,Chittagong,Bangladesh,2019-07-01 00:00:00,,
ARKADAS,8881266,General Cargo Ship,1846,1067,1983,Unknown,Palau,,Unknown ,Unknown ,Open Air Global Ltd,Open Air Global Ltd,Belize,Aliaga,Turkey,2019-08-01 00:00:00,,
ALICAN KARTAL,7702748,General Cargo Ship,865,,1979,Togo,,,Unknown ,Unknown ,Tuzla Gemicilik Insaat Sanayi,Tuzla Gemicilik Insaat Sanayi,Turkey,Aliaga,Turkey,2019-08-01 00:00:00,,
RAFIF,8308757,General Cargo Ship,4366,2650,1984,Togo,,,Unknown ,Unknown ,Salizar Group Ltd,Ulinex Ltd,Seychelles,Aliaga,Turkey,2019-08-01 00:00:00,,
GOLDLAND 1,8342521,Trailing Suction Hopper Dredger,4269,,2008,Panama,,,Unknown ,Unknown ,Doragon Marine Sdn Bhd,Fancy Kingdom Sdn Bhd,Malaysia,Unknown,Unknown,2019-09-01 00:00:00,,
OCEAN RIG PAROS,9541198,Drilling Ship,60316,44202,2011,Marshall Islands,,,Unknown ,Unknown ,Agon Shipping Inc,Agon Shipping Inc,Marshall Islands,Aliaga,Turkey,2019-09-01 00:00:00,,
GUAZAPA I,7432070,Products Tanker ,1782,1249,1976,Unknown,,,Unknown ,Unknown ,Oceancross Consultants,Guazapa SA,Panama,Unknown,Ecuador,2019-10-01 00:00:00,,
JAOHAR UK,8005721,Bulk Carrier,6492,3200,1980,Togo,,,Unknown ,Unknown ,Diamond Maritime DMCC,Diamond Maritime DMCC,United Arab Emirates,Alang,India,2019-10-01 00:00:00,,
SIERRA,9697519,Platform Supply Ship,3548,2731,2016,Niue,Gibraltar,Vos Primrose,Unknown ,Unknown ,Check In Enterprises Pvt Ltd,Check In Enterprises Pvt Ltd,India,Chittagong,Bangladesh,2019-10-01 00:00:00,,
YAVIRE,8123626,LPG Tanker,11979,6600,1983,Togo,,,Unknown ,Unknown ,Giraldo y Gomez SA,Giraldo y Gomez SA,Colombia,Aliaga,Turkey,2019-12-01 00:00:00,,
PARAMACAY,8123638,LPG Tanker,11977,6600,1983,Togo,,,Unknown ,Unknown ,Giraldo y Gomez SA,Giraldo y Gomez SA,Colombia,Aliaga,Turkey,2019-12-01 00:00:00,,
DALAS,8316986,Products Tanker,4473,2607,1984,Gabon,Comoros,Tala,Unknown ,Unknown ,Desire Shiptrade SA,Desire Shiptrade SA,Marshall Islands,Gadani,Pakistan,2019-12-01 00:00:00,,
KARIM,7419690,Tug,606,649,1975,Panama,Moldova,,Unknown ,Unknown ,Awdeh Sea Solutions Co Ltd,Awdeh Sea Solutions Co Ltd,Marshall Islands,Alang,India,2019-12-01 00:00:00,,
PICOLO,8012786,Tanker,8750,4048,1982,Comoros,Venezuela,Pico El Toro,Atlas Marine CA,Venezuela,Atlas Marine Shipmgmt CA,Gardenia Associates SA,Panama,Gadani,Pakistan,2019-02-01 00:00:00,,
ALPHA GAS,8910811,LPG Tanker,3296,2109,1989,Panama,,,Fgas Petrol JSC,Vietnam,Vietnam Gas & Chemicals,Fgas Petrol JSC,Vietnam,Chittagong,Bangladesh,2019-07-01 00:00:00,,
P PEARL,9150860,Container Ship,8957,4564,1998,Comoros,Panama,Pacific Pearl,GEMADEPT Corp,Vietnam,Gemadept Shipping Ltd Co,Gemadept Shipping Ltd Co,Vietnam,Chittagong,Bangladesh,2019-01-01 00:00:00,,
SEA MEADOW 02,7434690,Platform Supply Ship,2073,1435,1976,Panama,,,Hai Duong Company Limited,Vietnam,Hai Duong Co Ltd,Seascape Meadow Invest Inc,British Virgin Islands,Chittagong,Bangladesh,2019-12-01 00:00:00,,
TAN CANG VICTORY,9264245,Container Ship (Fully Cellular),5234,2730,2003,Vietnam,,,Tan Cang Saigon,Vietnam,Tan Cang Shipping JSC,Vinaconnect Trading & Invest,Vietnam,Alang,India,2019-11-01 00:00:00,,
HTK HOPE,8323654,Bulk Carrier,14905,5740,1984,Vietnam,,,Vietnam Govt,Vietnam,HTK Shipping & Import Export,HTK Shipping & Import Export,Vietnam,Chittagong,Bangladesh,2019-10-01 00:00:00,,
