VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,DESTINATION,Unnamed: 12,Unnamed: 13
Sioux Maiden,8901133,Bulk Carrier,23270,1989,Philippines ,TBS International Plc,United States of America,TBS Shipping Services Incorporated  ,Birnam Maritime Corporation  ,Philippines,Alang,India,2015-05-31 00:00:00
Yakima Princess,8915225,Bulk Carrier,23515,1990,Philippines ,TBS International Plc  ,United States of America,TBS Shipping Services Incorporated  ,Overseas Bulk Transport Incorporated,Philippines,Alang,India,2015-05-30 00:00:00
General Piar,8011782,Bulk Carrier,37959,1982,Liberia ,Technical Marine Planning (Overseas) Limited,Greece,Technical Marine Planning (Overseas) Limited,Gretchen Shipping Incorporated,Liberia,Gadani,Pakistan,2015-01-29 00:00:00
Sunrise 2000,8400294,Pipe Layer,10648,1984,Panama ,Technip S.A. ,France,Technip UK Limited ,Technip Ships (Netherlands) B.V. ,Netherlands,Aliaga,Turkey,2015-08-20 00:00:00
Torino,8820200,Fully Cellular Containership,17700,1990,Malta,Technomar Shipping Incorporated ,Greece,Technomar Shipping Incorporated ,Apollon Marine LLC ,Marshall Islands,Alang,India,2015-02-15 00:00:00
Isti,9122203,Fully Cellular Containership,31207,1996,Tuvalu,Technomar Shipping Incorporated ,Greece,Technomar Shipping Incorporated ,Pisti Shipping LLC ,Panama,Alang,India,2015-03-16 00:00:00
Dimitris Y,9121247,Fully Cellular Containership,31131,1996,Liberia,Technomar Shipping Incorporated ,Greece,Technomar Shipping Incorporated ,Trieste Shipping S.A. ,Marshall Islands,Alang,India,2015-03-26 00:00:00
Angel,9045560,Bulk Carrier,81120,1993,Comoros ,The Angelicoussis Group,Greece,Anangel Maritime Services Incorporated  ,Splendour Special Maritime Enterprise,Greece,Gadani,Pakistan,2015-05-21 00:00:00
Ana,9039652,Bulk Carrier,81569,1993,Comoros ,The Angelicoussis Group  ,Greece,Anangel Maritime Services Incorporated  ,Nashwood Maritime Incorporated,Panama,Chittagong,Bangladesh,2015-04-03 00:00:00
Pride,9039640,Bulk Carrier,81569,1993,Palau ,The Angelicoussis Group  ,Greece,Anangel Maritime Services Incorporated  ,Lockheart Shipping Incorporated  ,Panama,Chittagong,Bangladesh,2015-04-07 00:00:00
