VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,DESTINATION,Unnamed: 12,Unnamed: 13
VOS Patrol,8030661,Standby Safety Vessel,804,1982,Barbados,Vroon B.V. ,Netherlands,Vroon Offshore Services B.V.  ,Vroon Offshore Services Limited  ,United Kingdom,Grenaa,Denmark,2015-10-18 00:00:00
VOS Emperor,7608485,Standby Safety Vessel,624,1977,Liberia,Vroon B.V. ,Netherlands,Vroon Offshore Services B.V.  ,Nomis Shipping Limited ,United Kingdom,Grenaa,Denmark,2015-10-18 00:00:00
VOS Siren,8030673,Standby Safety Vessel,686,1982,Barbados,Vroon B.V. ,Netherlands,Vroon Offshore Services B.V.  ,Vroon Offshore Services Limited  ,United Kingdom,Grenaa,Denmark,2015-10-19 00:00:00
VOS Iona,7413127,Supply,1444,1977,United Kingdom,Vroon B.V.  ,Netherlands,Vroon Offshore Services B.V.  ,Viking North Sea Limited,United Kingdom,Grenaa,Denmark,2015-01-25 00:00:00
VOS Tiree,7711294,Standby Safety Vessel,863,1981,United Kingdom,Vroon B.V.  ,Netherlands,Vroon B.V.  ,Offshore Support Vessels IV Limited  ,United Kingdom,Grenaa,Denmark,2015-04-19 00:00:00
VOS Don,8010001,Standby Safety Vessel,782,1980,Bahamas ,Vroon B.V.  ,Netherlands,Vroon Offshore Services B.V.  ,Vroon Offshore Services Limited  ,United Kingdom,Grenaa,Denmark,2015-07-22 00:00:00
Tania,8501658,Fully Cellular Containership,10383,1986,St. Kitts-Nevis,Wan Hai Lines Limited ,Taiwan,Wan Hai Lines Limited ,Wan Hai Lines Singapore Private Limited ,Singapore,Chittagong,Bangladesh,2015-11-04 00:00:00
Wan He,8116661,Bulk Carrier,17770,1983,Panama ,Wan Jia International Shipping & Trading Limited  ,Hong Kong,Wan Jia International Shipping & Trading Limited  ,King Fortune Shipping Limited,Panama,Chittagong,Bangladesh,2015-06-11 00:00:00
Wei Fong,9113563,Bulk Carrier,38679,1994,Panama,Wei Fong Shipping Company Limited ,China,Wei Fong Shipping Company Limited ,Rei Fong Shipping Limited ,Panama,Gadani,Pakistan,2015-10-29 00:00:00
Tagus,8309579,Vehicle Carrier,48357,1985,Norway (Int. Register) ,Wilh. Wilhelmsen ASA ,Norway,Wilh. Wilhelmsen ASA ,Wilhelmsen Lines Shipowning AS  ,Norway,Jiangyin,China,2015-02-27 00:00:00
Tasco,8309581,Vehicle Carrier,48393,1985,Norway (Int. Register) ,Wilh. Wilhelmsen ASA ,Norway,Wilh. Wilhelmsen ASA ,Wilhelmsen Lines Shipowning AS,Norway,Jiangyin,China,2015-02-09 00:00:00
Fortune,8508412,Fully Cellular Containership,10524,1985,Sierra Leone ,Xixiakou Group Company Limited ,China,Xixiakou Group Company Limited ,Dongdu Shipping (HK) Company Limited ,Hong Kong,Alang,India,2015-12-01 00:00:00
Yong Long Jiu,8124319,Bulk Carrier,23609,1984,China ,Yangpu Chang Long Marine,China,Yangpu Chang Long Marine,Yangpu Chang Long Marine,China,Zhangjiagang,China,2015-05-24 00:00:00
Yong Long Fa,8124307,Bulk Carrier,23604,1984,China ,Yangpu Chang Long Marine  ,China,Yangpu Chang Long Marine  ,Yangpu Chang Long Marine  ,China,Zhangjiagang,China,2014-09-10 00:00:00
Zhe Hai 126,8507597,Bulk Carrier,14814,1985,China ,Zhejiang Shipping Group Company Limited  ,China,Zhejiang Shipping Group Company Limited  ,Wenzhou Shipping Company Limited  ,China,Zhoushan,China,2014-06-02 00:00:00
Chang Lin,8216837,Bulk Carrier,23715,1983,Panama ,Zheng Yang Shipping Limited   ,China, Zheng Yang Shipping Limited   ,Fan Stone Marine Limited,China,Chittagong,Bangladesh,2015-02-18 00:00:00
Zhong Chang 58,8511718,Bulk Carrier,15832,1985,China ,Zhoushan Zhongchang Shipping,China,Zhoushan Zhongchang Shipping,Zhoushan Zhongchang Shipping,China,Zhoushan,China,2014-09-24 00:00:00
Zhong Chang 68,8120703,Bulk Carrier,18121,1986,China ,Zhoushan Zhongchang Shipping  ,China,Zhoushan Zhongchang Shipping  ,Zhoushan Zhongchang Shipping  ,China,Wenzhou ,China,2014-12-10 00:00:00
Zhong Chang 88,8401303,Bulk Carrier,24536,1987,China ,Zhoushan Zhongchang Shipping  ,China,Zhoushan Zhongchang Shipping  ,Zhoushan Zhongchang Shipping  ,China,Ningde ,China,2014-11-26 00:00:00
