BO Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Next to last,Date of change,Commercial operator,Registered owner,Destination yard,Beaching date,Built in (y),Type of ship,Sub-type of ship,LDT,USD/ton
China,Fuzhou Hailing Shipping Company Limited ,Fu Xiang,8312710,Sierra Leone,Hong Kong,2013-10-25 00:00:00,Fuzhou Hailing Shipping Company Limited ,Fu Xing International Shipping Limited ,"Chittagong, Bangladesh",2013-03-03 00:00:00,1984,Bulker,,,
China,Glory Ships Company Limited,Infinite Power,8115289,Panama ,,,Glory Ships Company Limited,Infinite Power Private Limited ,"Chittagong, Bangladesh",2013-11-03 00:00:00,1982,Bulker,,11018,
China,Glory Ships Company Limited,May Jasmine,8117122,Panama ,,,Glory Ships Company Limited,May Jasmine Shipping Company Limited ,"Chittagong, Bangladesh",2013-10-21 00:00:00,1984,Bulker,,8426,
China,Grand Rise HK Shipping Company Limited,Grand Rise,8105636,Panama ,,,Grand Rise HK Shipping Company Limited,Grand Rise HK Shipping Company Limited,"Chittagong, Bangladesh",2013-07-26 00:00:00,1983,Bulker,,12002,
China,Hebei Ocean Shipping Company Limited (HOSCO),Hebei Genius,8710326,Hong Kong,,,Hebei Ocean Shipping Company Limited (HOSCO),NCS Genius Shipping Company Limited ,"Chittagong, Bangladesh",2013-03-05 00:00:00,1990,Bulker,Ore Carrier,22358,
China,Hebei Ocean Shipping Company Limited (HOSCO) ,Warrior,8808056,Hong Kong,,,Hebei Ocean Shipping Company Limited (HOSCO) ,NCS Warrior Shipping Company Limited ,"Chittagong, Bangladesh",2013-03-28 00:00:00,1990,Bulker,Ore Carrier,,
China,Jieheng Shipping Company Limited,Jin Ming,8106434,Panama,,,Jieheng Shipping Company Limited,Rongzheng Development Limited ,"Chittagong, Bangladesh",2013-03-10 00:00:00,1982,Bulker,,,
China,Jimbloom Shipping Limited,Jimbloom,8705553,Panama ,,,Jimbloom Shipping Limited,Jimbloom Shipping Limited,"Chittagong, Bangladesh",2013-06-26 00:00:00,1988,Bulker,,10257,
China,Jimflush Shipping Private Limited,Jimflush,8705565,Panama ,,,Jimflush Shipping Private Limited,Jimflush Shipping Private Limited,"Chittagong, Bangladesh",2013-06-15 00:00:00,1988,Bulker,,,
China,Junhan Marine Company Limited,San Feng,8122050,Panama ,,,Junhan Marine Company Limited,Sanfeng Shipping Company Limited ,"Chittagong, Bangladesh",2013-05-29 00:00:00,1982,Bulker,,9015,
China,Nanjing Ocean Shipping Company Limited,Vanbloom,8211552,Panama,,,Nanjing Ocean Shipping Company Limited,Vanbloom Shipping Corporation ,"Chittagong, Bangladesh",2013-04-23 00:00:00,1983,Bulker,,,
China,Peaceful Universe Shipping Company Limited,Sea Pilot,8319639,Panama,,,Peaceful Universe Shipping Company Limited,Great Ocean Shipping Company Limited ,"Chittagong, Bangladesh",2013-06-08 00:00:00,1984,Bulker,,7651,
China,Sea Star Ships Management Company Limited,Glory Fujian,9004736,Panama ,,,Sea Star Ships Management Company Limited,Glory Fujian Limited ,"Chittagong, Bangladesh",2013-06-12 00:00:00,1991,Bulker,,,
