BO Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Next to last,Date of change,Commercial operator,Registered owner,Destination yard,Beaching date,Built in (y),Type of ship,Sub-type of ship,LDT,USD/ton
Thailand,Top Siam Marine Company Limited,Thepsu,8304373,Thailand ,,,Top Siam Marine Company Limited,Sinsubphupa Company Limited ,"Chittagong, Bangladesh",2013-10-14 00:00:00,1984,Bulker,,6336,
Tunisia,Compagnie Tunisienne de Navigation S.A. (CTN),Kef,8021139,Tanzania,Tunisia,2013-02-27 00:00:00,Compagnie Tunisienne de Navigation S.A. (CTN),Compagnie Tunisienne de Navigation S.A. (CTN),"Alang, India",2013-03-30 00:00:00,1982,Bulker,,,
Turkey,Akar Deniz Tasimaciligi ve Ticaret Limited Sirketi ,Avramit,8403143,Panama,,,Akar Deniz Tasimaciligi ve Ticaret Limited Sirketi ,MTN Shipping & Trading Corporation ,"Alang, India",2013-03-09 00:00:00,1985,Bulker,,,
Turkey,Denak Depoculuk ve Nakliyecilik A.S. ,Haydar,7930682,Turkey,,,Denak Depoculuk ve Nakliyecilik A.S. ,Denak Depoculuk ve Nakliyecilik A.S. ,"Alang, India",2013-03-11 00:00:00,1981,Bulker,,11796,430
Turkey,Deniz Nakliyati Turk A.S.,Alma Ata,8513132,Turkey,,,Deniz Nakliyati Turk A.S.,Deniz Nakliyati Turk A.S.,"Alang, India",2013-03-01 00:00:00,1999,Bulker,,,
Turkey,Emiroglu Shipping,Huzur 1,7720702,Cook Islands ,Turkey,2013-04-16 00:00:00,Emiroglu Shipping,Huzur Denizcilik Sanayi ve Ticaret Limited Sirketi ,"Alang, India",2013-12-11 00:00:00,1978,Bulker,,5291,415
Turkey,Emiroglu Shipping,Mevlana,7610749,Malta ,,,Emiroglu Shipping,Medtrans Nav. & Trade Company Limited ,"Alang, India",2013-11-19 00:00:00,1977,Bulker,,4812,415
Turkey,Hisar Denizcilik ve Ticaret Limited ,Sur,8406901,Liberia ,,,Hisar Denizcilik ve Ticaret Limited ,Derya Incorporated ,"Alang, India",2013-06-12 00:00:00,1985,Bulker,,6170,419
Turkey,Horizon Gemi Isletmeciligi Sanayi ve Ticaret Limited Sirketi ,Zenith 4,8807703,Cook Islands ,Panama,2013-05-01 00:00:00,Horizon Gemi Isletmeciligi Sanayi ve Ticaret Limited Sirketi ,Zenith Trading Limited ,"Alang, India",2013-07-11 00:00:00,1990,Bulker,,,
Turkey,International Shipping Group & Trading Limited,Trinidad,7525504,Belize ,,,International Shipping Group & Trading Limited,Ateniense Armadora S.A. ,"Alang, India",2013-09-05 00:00:00,1977,Bulker,,5107,
Turkey,Istanbul Denizcilik Limited Sirketi,Emir,8412510,Panama ,,,Istanbul Denizcilik Limited Sirketi,Istanbul Denizcilik Limited Sirketi,"Alang, India",2013-06-01 00:00:00,1985,Bulker,,5352,428
Turkey,Kiran Holdings AS,Gokhan Kiran,7433696,Turkey ,,,Pasifik Gemi Isletmeciligi ve Ticaret A.S. ,Kargo Kiran Gemicilik ve Ticaret A.S. ,"Alang, India",2013-06-22 00:00:00,1986,Bulker,,9594,440
Turkey,Kiran Holdings AS,Kiran Atlantic,7713137,Turkey ,,,Pasifik Gemi Isletmeciligi ve Ticaret A.S. ,"Kirgun Gemicilik ve Ticaret A.S. 
","Alang, India",2013-08-24 00:00:00,1987,Bulker,,8737,395
Turkey,Kiran Holdings AS ,Kiran Pacific,7713149,Turkey ,,,Pasifik Gemi Isletmeciligi ve Ticaret A.S. ,Kirbar Gemicilik ve Ticaret A.S. ,"Alang, India",2013-10-23 00:00:00,1987,Bulker,,,
Turkey,Lori Denizcilik Tasimacilik Dis Ticaret Limited Sirketi ,Balikesir,7389883,Turkey ,,,Lori Denizcilik Tasimacilik Dis Ticaret Limited Sirketi ,Kocanlar Deniz Tasimaciligi A.S. ,"Alang, India",2013-12-07 00:00:00,1981,Bulker,,5561,
Turkey,T ve O Denizcilik Ltd Sti,Haci Ali Sari,7720738,Saint Kitts and Nevis,,,T ve O Denizcilik Ltd Sti,Omsa International Limited ,"Alang, India",2013-05-07 00:00:00,1978,Bulker,,5287,
Turkey,Varda Denizcilik Sanayi,B.Camlica 1,8303795,Panama ,,,Varda Denizcilik Sanayi,Burc Shipping Trading and Industry Incorporated ,"Alang, India",2013-12-06 00:00:00,1984,Bulker,,8337,405
Turkey,Gokalp Denizcilik Sanayi ve Ticaret Limited Sirketi,Guloya,7382718,Moldova ,,,Gokalp Denizcilik Sanayi ve Ticaret Limited Sirketi,Blacksea Shipping Corporation ,"Aliaga, Turkey",2013-01-01 00:00:00,1976,Bulker,,,
Turkey,International Shipping Group & Trading Limited,Belmopan,7361568,Belize ,,,International Shipping Group & Trading Limited,Belmopan Shipping & Trading Company ,"Aliaga, Turkey",2013-11-27 00:00:00,1976,Bulker,,,
Turkey,Ocean Island Maritime Limited,Asya Nehir,8022420,Panama ,,,Ocean Island Maritime Limited,Ocean Island Maritime Limited,"Aliaga, Turkey",2013-02-28 00:00:00,1981,Bulker,,,
Turkey,Bergen Denizcilik Limited Sirketi,Minelkar,8219334,Cook Islands ,Malta,2013-03-19 00:00:00,Bergen Denizcilik Limited Sirketi,Karlidag Maritime S.A. ,"Chittagong, Bangladesh",2013-10-04 00:00:00,1985,Bulker,,8888,390
Turkey,Kiran Holdings AS ,Murat Kiran,8314988,Turkey ,,,Pasifik Gemi Isletmeciligi ve Ticaret A.S. ,Kirmar Denizcilik ve Ticaret AS ,"Chittagong, Bangladesh",2013-11-18 00:00:00,1985,Bulker,,7140,
Turkey,Kiran Holdings AS ,Tahir Kiran,7433713,Turkey ,,,Pasifik Gemi Isletmeciligi ve Ticaret A.S. ,Kirsped Gemicilik ve Ticaret A.S. ,"Chittagong, Bangladesh",2013-07-21 00:00:00,1987,Bulker,,9072,
Turkey,Gamma Denizcilik Nakliyat ve Dis Ticaret Limited Sirketi ,Tor,8118621,Saint Vincent and the Grenadines ,,,Gamma Denizcilik Nakliyat ve Dis Ticaret Limited Sirketi ,Toros Shipping Limited Corporation ,"Gadani, Pakistan",2013-10-01 00:00:00,1982,Bulker,,6342,
Turkey,Horizon Gemi Isletmeciligi Sanayi ve Ticaret Limited Sirketi ,Turkuaz 8,8308977,Turkey ,,,Horizon Gemi Isletmeciligi Sanayi ve Ticaret Limited Sirketi ,Horizon Gemi Isletmeciligi Sanayi ve Ticaret Limited Sirketi ,"Gadani, Pakistan",2013-05-24 00:00:00,1985,Bulker,,7140,430
Turkey,Royalmar Denizcilik ve Gemi Isletmeciligi Limited Sirketi ,Lava,8208957,Tanzania ,Panama,2012-12-06 00:00:00,Royalmar Denizcilik ve Gemi Isletmeciligi Limited Sirketi ,Northern Star Shipping S.A. ,"Gadani, Pakistan",2013-01-01 00:00:00,1983,Bulker,,,
Turkey,Deniz Nakliyati Turk A.S.,Taskent,8513144,Turkey ,,,Deniz Nakliyati Turk A.S.,Deniz Nakliyati Turk A.S.,"Xinhui, China",2013-02-19 00:00:00,2003,Bulker,,,
Ukraine,Unimor Shipping Services Limited,Radonezh,8117017,Liberia,,,Unimor Shipping Agency ,Radonezh Shipping Company ,"Alang, India",2013-04-09 00:00:00,1983,Bulker,,,
Ukraine,Fedcomshipping Limited,Sv. Maria,8030946,Liberia ,,,Fedcominvest Monaco SAM ,Lametta Maritime Incorporated ,"Chittagong, Bangladesh",2013-03-30 00:00:00,1989,Bulker,,,
Ukraine,Tech Project LLC ,Cape M.,8407498,Dominica ,Saint Vincent and the Grenadines,2012-04-12 00:00:00,Tech Project LLC ,Sea Star Holding Limited ,"Chittagong, Bangladesh",2013-11-21 00:00:00,1985,Bulker,,25222,436
Ukraine,Tech Project LLC,Vladimir Petrenko,8323410,Dominica ,Liberia,2013-01-07 00:00:00,Tech Project LLC,Maritime Worldwide Shipping Limited ,"Chittagong, Bangladesh",2013-08-25 00:00:00,1985,Bulker,,7168,
Ukraine,Fedcomshipping Limited,ST Ioan,8604620,Panama ,,,Fedcominvest Monaco SAM ,Shelton Shipping Limited ,"Gadani, Pakistan",2013-06-30 00:00:00,1998,Bulker,,15077,
Ukraine,Tech Project LLC ,Maxi Brazil,8404147,Dominica ,Panama,2012-02-23 00:00:00,Tech Project LLC ,Caravela Shipping Limited ,"Gadani, Pakistan",2013-09-11 00:00:00,1985,Bulker,,31984,403
Ukraine,Unimor Shipping Services Limited,St.Kiril,8405751,Liberia ,,,Unimor Shipping Agency ,Kiril Shipping Company Incorporated ,"Gadani, Pakistan",2013-07-14 00:00:00,1985,Bulker,,7145,
United Arab Emirates,Gulf of Aden Shipping (LLC),Acacia N.,7713838,Tanzania ,Panama,2013-04-14 00:00:00,Gulf of Aden Shipping (LLC),Falcon Shipping & Trading LLC ,"Alang, India",2013-10-18 00:00:00,1978,Bulker,,6119,385
United Arab Emirates,Gulf of Aden Shipping (LLC),Silo II,7625043,Sierra Leone ,Panama,2012-12-01 00:00:00,Gulf of Aden Shipping (LLC),Cement Land Shipping & Trading ,"Alang, India",2013-10-31 00:00:00,1979,Bulker,,,
United Arab Emirates,Osman Shipping LLC,Ocean Lord,8318881,Saint Kitts and Nevis,Malta,2012-04-10 00:00:00,Osman Shipping LLC,Alexa Shipping S.A. ,"Alang, India",2013-06-27 00:00:00,1985,Bulker,,6900,
United Arab Emirates,Kassab Inter Shipping LLC ,Yashwi,8411334,South Korea ,,,Swedish Management Company S.A. ,Fleet Management Incorporated ,"Chittagong, Bangladesh",2013-09-22 00:00:00,1995,Bulker,,,
United Arab Emirates,Abu Dhabi National Oil Company (ADNOC),Abida,8100442,Comoros,United Arab Emirates,2013-04-03 00:00:00,Abu Dhabi National Tanker Company (ADNATCO) ,Abu Dhabi National Tanker Company (ADNATCO) ,"Gadani, Pakistan",2013-04-25 00:00:00,1983,Bulker,,,
United Arab Emirates,Abu Dhabi National Oil Company (ADNOC) ,Arz,8100454,Comoros,United Arab Emirates,2013-04-09 00:00:00,Abu Dhabi National Tanker Company (ADNATCO) ,Abu Dhabi National Tanker Company (ADNATCO) ,"Gadani, Pakistan",2013-04-24 00:00:00,1983,Bulker,,,
United Arab Emirates,Gulf of Aden Shipping (LLC),Sapphire II,7708728,Saint Kitts and Nevis,,,Gulf of Aden Shipping (LLC),Sea Cargo General Shipping & Management Incorporated ,"Gadani, Pakistan",2013-05-01 00:00:00,1978,Bulker,,,
United Arab Emirates,Ocean Marine Shipping LLC ,Princess Lioness,8309452,Panama ,,,Ocean Marine Shipping LLC ,Ocean Trade Shipping Incorporated ,"Gadani, Pakistan",2013-09-09 00:00:00,1984,Bulker,,8376,
United Arab Emirates,Trans Continental Agencies,Rak Omar,7817608,Saint Kitts and Nevis,,,Trans Continental Agencies,RAK Omar Shipping Incorporated ,"Gadani, Pakistan",2013-04-19 00:00:00,1979,Bulker,,,
United Kingdom,F.G.M. Ship Management Company Limited,FGM Admiral,8313972,Panama,,,F.G.M. Ship Management Company Limited ,AMS Shipping Limited ,"Alang, India",2013-01-18 00:00:00,1986,Bulker,,8886,
United Kingdom,Holbud Ship Management Limited,Al Qawiyyu,8103315,Panama,,,Holbud Ship Management Limited,Neguel Shipping Incorporated ,"Alang, India",2013-01-11 00:00:00,1984,Bulker,,,
United Kingdom,Holbud Ship Management Limited,Provider,8223567,Panama ,,,Holbud Ship Management Limited,Eurosud Management S.A. ,"Alang, India",2013-08-08 00:00:00,1985,Bulker,,7754,
United Kingdom,Ocean Agencies Limited,St. Pavel,8309385,Liberia,,,Unimar Shipping Agency ,Ariadna Shipping Limited ,"Alang, India",2013-04-25 00:00:00,1985,Bulker,,,
United Kingdom,Valiant Shipping Company (London) Limited,Sea Prince,8707367,Cyprus,,,Valiant Shipping Company (London) Limited,Westport Shipping Company Limited ,"Alang, India",2013-04-25 00:00:00,1988,Bulker,Wood-Chip Carrier ,,
United Kingdom,I.M. Marine Services (London) Limited,Bana K.,7806893,Panama ,,,I.M. Marine Services (London) Limited,Celmera Navigation Incorporated ,"Aliaga, Turkey",2013-08-18 00:00:00,1978,Bulker,,,
United Kingdom,Ocean Agencies Limited,St. Iakov,8320377,Liberia ,,,Ocean Agencies Limited,Iakov Shipping Company Incorporated ,"Gadani, Pakistan",2013-09-19 00:00:00,1986,Bulker,,7530,
United Kingdom,Phocean Ship Agency Limited,Mytheas,8026672,Malta ,,,Phocean Ship Agency Limited,Minimich Corporation ,"Gadani, Pakistan",2013-08-30 00:00:00,1984,Bulker,,6921,387
United Kingdom,Sea Pioneer Limited,H. Pioneer,8024076,Liberia ,,,Sea Pioneer Limited,Fairville Holdings Corporation ,"Gadani, Pakistan",2013-10-13 00:00:00,1982,Bulker,,6807,412
United Kingdom,Torbulk Limited ,Cementina,5067077,Comoros,,,Torbulk Limited ,Independent Shipping Limited ,"Ghent, Belgium",2013-04-15 00:00:00,1960,Bulker,,,
United States,TBS International Ltd,Shinnecock Belle,8312722,Philippines,,,TBS Shipping Services Incorporated ,Viking International Carriers Incorporated ,"Gadani, Pakistan",2013-01-18 00:00:00,1985,Bulker,,,
United States of America,Crowley Maritime Corporation,Harbel Cutlass,7900584,Liberia,,,Harbel Cutlass Incorporated ,Harbel Cutlass Incorporated ,"Alang, India",2013-01-26 00:00:00,1980,Bulker,,5412,
United States of America,Liberty Maritime Corp,Liberty Spirit,8500549,Marshall Islands,United States of America,2012-11-08 00:00:00,Liberty Maritime Corp,Liberty Star Shipping Corporation ,"Alang, India",2013-01-31 00:00:00,1986,Bulker,,11311,
United States of America,TBS International Plc,Chesapeake Belle,8307612,Philippines ,,,TBS Shipping Services Incorporated ,Hudson Maritime Corporation ,"Alang, India",2013-11-09 00:00:00,1984,Bulker,,7371,420
United States of America,Delta Navigation Corporation ,Stellar Wind,8307143,Liberia ,,,Cleopatra Shipping Agency Limited ,Achillea Navigation Corporation ,"Chittagong, Bangladesh",2013-09-26 00:00:00,1984,Bulker,,6616,
United States of America,Independence Maritime Agency Incorporated,Glorious Rena,8509428,Bahamas ,,,Trojan Maritime Incorporated ,Glorious Steamship Incorporated ,"Chittagong, Bangladesh",2013-11-19 00:00:00,1987,Bulker,,10400,420
United States of America,TBS International Plc ,Canarsie Princess,8309244,Philippines ,,,TBS Shipping Services Incorporated ,Hartley Navigation Corporation ,"Chittagong, Bangladesh",2013-07-26 00:00:00,1985,Bulker,,7655,420
United States of America,Liberty Maritime Corp,Liberty Sun,8500551,Marshall Islands ,United States of America,2012-12-02 00:00:00,Liberty Maritime Corp,Liberty Star Shipping Corporation ,"Jiangyin, China ",2013-03-06 00:00:00,1986,Bulker,,,
Unknown,Unknown,OM Shakti,8109199,Saint Kitts and Nevis,Malta,2013-06-03 00:00:00,Unknown,Ocean Bridge Limited ,"Alang, India",2013-12-31 00:00:00,1982,Bulker,,,
Unknown,Unknown,Krym,8105739,Moldova ,,,Unknown,Unknown,"Aliaga, Turkey",2013-06-26 00:00:00,1982,Bulker,,,
Unknown,Unknown,Golden Tulip,8103676,Marshall Islands ,,,Unknown,Aigina Investments Limited ,"Chittagong, Bangladesh",2013-11-17 00:00:00,1983,Bulker,,9879,
Unknown,Unknown,West Lake,8316259,Panama ,,,Unknown,Rich Field Group S.A. ,"Chittagong, Bangladesh",2013-09-10 00:00:00,1984,Bulker,,7354,
Unknown,Unknown,PSU First,8711007,Marshall Islands ,,,Unknown,PSU First Limited ,"Gadani, Pakistan",2013-06-21 00:00:00,1990,Bulker,Ore Carrier,37433,
Unknown,Unknown,Pacific Banghu,8202551,Panama ,,,Unknown,Unknown,"Jiangyin, China ",2013-03-29 00:00:00,1982,Bulker,,,
Unknown,Unknown,Chang Hang Jiang He,8415031,China ,,,Unknown,Unknown,"Zhangjiagang, China",2013-03-30 00:00:00,1985,Bulker,,,
Unknown,Unknown,Victory 8,8106771,Panama ,,,Unknown,Fengda Shipping Company Limited ,"Zhangjiagang, China ",2013-01-02 00:00:00,1985,Bulker,,,
Vietnam,Vietnam National Shipping Lines (VINALINES),Hoang Son 28,7929267,Mongolia ,,,Vinashin Ocean Shipping Company Limited (VINASHINLINES) ,Vinashin Lash Carrier Company Limited ,"Alang, India",2013-12-31 00:00:00,1980,Bulker,,,
Vietnam,Vietnam National Shipping Lines (VINALINES),Sea Eagle,8022456,Panama ,,,Vinashin Ocean Shipping Company Limited (VINASHINLINES) ,Vinashin Ocean Shipping Company Limited (VINASHINLINES) ,China,2013-10-30 00:00:00,1982,Bulker,,11990,338
Vietnam,Quoc Huy Shipping Company Limited,South Star,8130758,Mongolia ,Liberia,2012-07-20 00:00:00,Quoc Huy Shipping Company Limited,Quoc Huy Shipping Company Limited,"Chittagong, Bangladesh",2013-11-29 00:00:00,1984,Bulker,,8920,
Vietnam,Viet Hai Shipping and Real Properities Corporation,Moon Stone,8311089,Panama ,,,Viet Hai Shipping and Real Properities Corporation ,Viet Hai Shipping and Real Properities Corporation ,"Chittagong, Bangladesh",2013-01-05 00:00:00,1984,Bulker,,,
Vietnam,Vietnam National Shipping Lines (VINALINES) ,Morning Star,8222006,Vietnam ,,,Vietnam Ocean Shipping Joint Stock Company (VOSCO) ,Vietnam Ocean Shipping Joint Stock Company (VOSCO) ,"Chittagong, Bangladesh",2013-08-11 00:00:00,1983,Bulker,,5200,
Vietnam,Vietnam National Shipping Lines (VINALINES) ,Golden Star,8323848,Vietnam ,,,Vietnam Ocean Shipping Joint Stock Company (VOSCO) ,Vietnam Ocean Shipping Joint Stock Company (VOSCO) ,"Haiphong, Vietnam",2013-06-11 00:00:00,1983,Bulker,,,
Hong Kong,Cido Shipping (HK) Company Limited,Pacific Beauty,8919984,Hong Kong ,,,Cido Tanker Holding Company Limited ,Dynamic Progress Marine S.A. ,"Gadani, Pakistan",2013-07-05 00:00:00,1992,Bulker ,Ore Carrier,,
Bangladesh,HRC Shipping Limited,Banga Borti,8201947,Bangladesh ,,,HRC Shipping Limited,HRC Shipping Limited,"Chittagong, Bangladesh",2013-09-01 00:00:00,1984,Container Ship,,,
China,Centrans Ocean Shipping Logistics Group,Sky 11,8124929,Hong Kong ,,,Tianjin Centrans Shipping Management Company Limited ,Apollo Shipping Company Limited ,"Alang, India",2013-10-12 00:00:00,1983,Container Ship,,14998,
China,Nanjing King Ship Management Company Limited,King Faith,8712506,Saint Vincent and the Grenadines ,,,Nanjing King Ship Management Company Limited,King Faith Shipping Company Limited ,"Alang, India",2013-05-14 00:00:00,1989,Container Ship,,8193,
China,China Shipping (Group) Company ,Xiang Hu,8415122,China ,,,China Shipping Container Lines Company Limited ,China Shipping Container Lines Company Limited ,China,2013-09-30 00:00:00,1985,Container Ship,,,
China,Centrans Ocean Shipping Logistics Group,Chicago,8011213,Saint Kitts and Nevis,Hong Kong,2013-04-22 00:00:00,Tianjin Centrans Shipping Management Company Limited ,Aphrodite Shipping Company Limited ,"Chittagong, Bangladesh",2013-04-29 00:00:00,1982,Container Ship,,,
China,China Ocean Shipping (Group) Company (COSCO),Empress Sea,9041239,Panama ,,,COSCO Container Lines Limited (COSCON) ,Haihou Maritime Incorporated ,"Jiangmen, China ",2013-10-10 00:00:00,1994,Container Ship,,,
China,China Ocean Shipping (Group) Company (COSCO),Empress Heaven,9041227,Panama ,,,COSCO Container Lines Limited (COSCON) ,Tianhou Maritime Incorporated ,"Xinhui, China",2013-09-18 00:00:00,1993,Container Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Empress Phoenix,9046124,Panama ,,,COSCO Container Lines Limited (COSCON) ,Fenghou Maritime Incorporated ,"Xinhui, China",2013-09-30 00:00:00,1994,Container Ship,,,
China,China Ocean Shipping (Group) Company (COSCO),Pan He,9118109,China ,,,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,"Xinhui, China",2013-04-08 00:00:00,1995,Container Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Teng He,9067570,China ,,,COSCO Container Lines Limited (COSCON) ,COSCO Container Lines Limited (COSCON) ,"Xinhui, China",2013-11-19 00:00:00,1994,Container Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Yu He,8318025,China ,,,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,"Xinhui, China",2013-10-27 00:00:00,1986,Container Ship,,,
China,Shanghai Puhai Shipping Company Limited,Xiang Tai,8520393,Panama ,,,Shanghai Puhai Shipping Company Limited,China Shipping Container Lines(Asia) Company Limited ,"Xinhui, China",2013-07-19 00:00:00,1986,Container Ship,,,
China,CPM Corporation Limited,Sino West,8708543,Panama ,,,Vasteast International Private Limited ,Sinowest Shipping Company Limited ,"Zhangjiagang, China",2013-01-05 00:00:00,1988,Container Ship,,,
China,Fujian Orient Shipping Company Limited,Rong Feng,8211344,Hong Kong ,,,Fujian Orient Shipping Company Limited,All-Trans HK Shipping Company Limited ,"Zhangjiagang, China",2013-08-05 00:00:00,1983,Container Ship,,,
China,Ningbo Port Group Limited,Ming Zhou 22,8321955,Saint Vincent and the Grenadines ,,,Ningbo Ocean Shipping Company Limited (NOSCO) ,Ming Zhou Shipping Company Limited ,"Zhangjiagang, China",2013-03-15 00:00:00,1985,Container Ship,,,
China,China Shipping (Group) Company ,Xiang Kai,8415017,China ,,,China Shipping Container Lines Company Limited ,China Shipping Container Lines Company Limited ,"Zhangjiagang, China ",2013-09-22 00:00:00,1985,Container Ship,,,
China,China Shipping (Group) Company ,Xin She Kou,8026086,China ,,,China Shipping Container Lines Company Limited ,China Shipping Container Lines Company Limited ,"Zhangjiagang, China ",2013-01-01 00:00:00,1983,Container Ship,,,
China,China Ocean Shipping (Group) Company (COSCO),Empress Dragon,9046112,Panama ,,,COSCO Container Lines Limited (COSCON) ,Longhou Maritime Incorporated ,"Zhoushan, China ",2013-08-20 00:00:00,1994,Container Ship,,,
Cyprus,Kotani Shipping Company Limited,Polonio,8710962,Liberia,,,Kotani Shipping Company Limited,Polonio Shipping Limited ,"Alang, India",2013-03-14 00:00:00,1990,Container Ship,,,
Cyprus,Kotani Shipping Company Limited,North Sea,8913435,Liberia ,,,Kotani Shipping Company Limited,Pavan Shipping Limited ,"Alang, India",2013-06-08 00:00:00,1992,Container Ship,,,
Cyprus,Lemissoler Shipmanagement Company Limited ,Dove,8314524,Comoros ,Marshall Islands,2013-11-16 00:00:00,Lemissoler Shipmanagement Company Limited ,Prime Stone Maritime Limited ,"Chittagong, Bangladesh",2013-10-25 00:00:00,1985,Container Ship,,14340,
Denmark,Container Leasing A/S,CS Gitte,8820248,Panama,,,Container Shipping A/S ,K/S CS Gitte ,"Alang, India",2013-01-12 00:00:00,1990,Container Ship,,,
Denmark,Dania Marine ApS,Volos,8415641,Malta ,,,Dania Marine ApS,K/S Brave Eagle ,"Alang, India",2013-11-17 00:00:00,1985,Container Ship,,4674,
Denmark,Rederiet Hansen & Lange I/S,Selma,9057159,Antigua and Barbuda,,,Rederiet Hansen & Lange I/S,K/S Cala Pinar Shipping ,"Alang, India",2013-05-04 00:00:00,1994,Container Ship,,6797,
Germany,Bernhard Schulte Group of Companies ,Renate Schulte,9057147,Malta,Germany,2012-05-22 00:00:00,Bernhard Schulte Shipmanagement (Deutschland) & Company KG ,ms Renate Schulte Vorsetzen Schiffahrtskontor GmbH & Company KG ,"Alang, India",2013-04-02 00:00:00,1994,Container Ship,,7308,435
Germany,Conti Holding GmbH & Company KG,Anji,9110561,Comoros ,Germany,2013-06-16 00:00:00,Conti Reederei Management GmbH & Company Konzeptions KG ,Contimare Schiffsbeteiligungs GmbH & Company KG Nr.1 ,"Alang, India",2013-07-08 00:00:00,1995,Container Ship,,,
Germany,Conti Holding GmbH & Company KG,Blues,9057496,Comoros,Liberia,2013-04-06 00:00:00,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Cora Schiffahrts-GmbH & Company KG ms Norasia Hong Kong ,"Alang, India",2013-04-25 00:00:00,1994,Container Ship,,,
Germany,Conti Holding GmbH & Company KG,Chattopadhyayy,9108295,Comoros ,Malta,2013-06-02 00:00:00,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Corso Schiffahrts GmbH & Company KG ms Caribbean Sea ,"Alang, India",2013-06-25 00:00:00,1995,Container Ship,,14902,
Germany,Conti Holding GmbH & Company KG,Conti Singa,9113642,Germany ,,,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Zweite Shipping GmbH & Company KG ms Norasia Singa ,"Alang, India",2013-08-08 00:00:00,1996,Container Ship,,14850,
Germany,Conti Holding GmbH & Company KG ,Lima,9071521,Germany,,,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Neptun Schiffsbeteiligungs GmbH & Company KG ms Washington Senator ,"Alang, India",2013-05-13 00:00:00,1994,Container Ship,,12532,
Germany,Conti Holding GmbH & Company KG ,Northern Reliance,9064865,Liberia,Germany,2012-01-29 00:00:00,NSB Niederelbe Schiffahrtsgesellschaft mbH & Company KG ,ms Northern Reliance Schiffahrts GmbH & Company ,"Alang, India",2013-02-10 00:00:00,1994,Container Ship,,13344,
Germany,Conti Holding GmbH & Company KG ,Sara,9115717,Malta ,Germany,2012-04-01 00:00:00,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Corso Schiffahrts-GmbH & Company KG ms Sargasso Sea ,"Alang, India",2013-06-08 00:00:00,1995,Container Ship,,,
Germany,Conti Holding GmbH & Company KG,Shan,9113630,Germany,,,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Shipping GmbH & Company KG ms Norasia Shanghai ,"Alang, India",2013-01-01 00:00:00,1996,Container Ship,,,
Germany,Conti Holding GmbH & Company KG,Shan,9057501,Liberia,,,Conti Holding GmbH & Company KG ,Conti Caro Schiffahrts-GmbH & Company KG ms Conti Sharjah ,"Alang, India",2013-01-24 00:00:00,1994,Container Ship,,,
Germany,Conti Holding GmbH & Company KG,Sinah,9056088,Togo ,Germany,2013-06-15 00:00:00,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Capitano Schiffahrts-GmbH & Company KG ms Tokyo Senator ,"Alang, India",2013-06-24 00:00:00,1993,Container Ship,,12517,
Germany,Conti Holding GmbH & Company KG ,Yellow Sea,9115729,Malta ,Germany,2012-04-19 00:00:00,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Corso Schiffahrts GmbH & Company KG No.2 ms Yellow Sea ,"Alang, India",2013-08-08 00:00:00,1996,Container Ship,,,
Germany,E.R. Schiffahrt GmbH & Cie KG,Chang,9102514,Liberia ,,,E.R. Schiffahrt GmbH & Cie KG,ms E.R. Cape Town Schiffahrtsges GmbH & Company KG ,"Alang, India",2013-05-30 00:00:00,1995,Container Ship,,7786,
Germany,E.R. Schiffahrt GmbH & Cie KG ,E.R. Canberra,9124354,Liberia ,,,E.R. Schiffahrt GmbH & Cie KG ,ms E.R. Canberra Schiffahrtsges. mbH & Company KG ,"Alang, India",2013-05-27 00:00:00,1996,Container Ship,,11761,
Germany,E.R. Schiffahrt GmbH & Cie KG ,E.R. Perth,9152868,Liberia,,,E.R. Schiffahrt GmbH & Cie KG ,ms E.R. Perth Schiffahrts GmbH & Company KG ,"Alang, India",2013-03-30 00:00:00,1998,Container Ship,,,
Germany,Ernst Komrowski Reederei KG,Prominence,9080417,Comoros,Liberia,2013-02-01 00:00:00,Reederei Blue Star GmbH ,Montan Capital Investments Pool GmbH & Company KG ,"Alang, India",2013-01-14 00:00:00,1995,Container Ship,,7394,
Germany,F. Laeisz Schiffahrtsges.mbH & Company,Hanjin Colombo,9082960,Liberia,,,F. Laeisz Schiffahrtsges.mbH & Company,ms Perugia GmbH & Company KG ,"Alang, India",2013-05-25 00:00:00,1994,Container Ship,,18781,
Germany,F. Laeisz Schiffahrtsges.mbH & Company,Hanjin Portland,9021681,Liberia,,,F. Laeisz Schiffahrtsges.mbH & Company,ms Pereira GmbH & Company KG ,"Alang, India",2013-04-26 00:00:00,1993,Container Ship,,,
