VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,Unnamed: 6,NAME CHANGE,OWNERSHIP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,DESTINATION,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Ocean Courier,7005281,Tanker,2890,1970,Panama,,,Ionian Transport Inc,Greece,Ionian Shipping & Trading,Amazona Maritima,Panama,Aliaga,Turkey,2017-07-01 00:00:00,,
Yamak Junior,8308769,General Cargo With Container Capacity,4366,1984,Sierra Leone,,,Kalesya Shipping Limited ,Greece,Kalesya Shipping Limited ,Eman Shipping Limited ,Marshall Islands,Alang,India,2017-03-01 00:00:00,,
Summer Meadow,8407814,Fully Cellular Refrigerated,12659,1985,Bahamas,,,Kollakis Group ,Greece,Chartworld Shipping Corporation ,Meadow Shipping Corporation ,Marshall Islands,Alang,India,2017-01-01 00:00:00,,
Summer Flower,8413019,Reefer,12659,1984,Bahamas,,,Kollakis Group ,Greece,Chartworld Shipping Corporation ,Flower Shipping Corporation ,Bahamas,Alang,India,2017-02-01 00:00:00,,
Vento,9006708,Crude Oil Tanker,54935,1991,Palau,Liberia,Ce-Venture,Marine Trust Limited ,Greece,Marine Trust Limited ,Rosalinde Maritime Corporation ,Greece,Chittagong,Bangladesh,2017-12-01 00:00:00,,
Panagia Tinou,7205063,Passenger Ro/Ro,5122,1972,Greece,,,Mastrogiorgis Shipping Company Limited ,Greece,Panagia Odigitria Shipping Company ,Panagia Odigitria Shipping Company ,Greece,Aliaga,Turkey,2017-03-01 00:00:00,,
Sea Anemos,8017891,Vehicle Carrier,6525,1980,Panama,,,Mediterranean Car-Carriers Line S.A. (MCCL) ,Greece,Mediterranean Car-Carriers Line S.A. (MCCL) ,Sea Anemos Shipping Company S.A. ,Marshall Islands,Aliaga,Turkey,2017-06-01 00:00:00,,
Ritika,9074987,Combined Chemical And Oil Tanker,31330,1995,Comoros,Greece,Kriti Amber,N.J. Vardinoyannis Group,Greece,Avin International S.A. ,Kriti Amber Special Maritime Enterprise ,Greece,Chittagong,Bangladesh,2017-04-01 00:00:00,,
Santa Cruz I,9041447,Crude Oil Tanker,55743,1995,Togo,Liberia,,N.J. Vardinoyannis Group,Greece,Avin International S.A. ,Nephele Marine Incorporated ,Liberia,Chittagong,Bangladesh,2017-08-01 00:00:00,,
Naftocement Xvi,7373729,Bulk Cement Carrier,7410,1974,Unknown,,,Naftotrade Shipping & Commercial Company S.A. ,Greece,Naftotrade Shipping & Commercial Company S.A. ,Gautier Marine Limited ,Marshall Islands,Aliaga,Turkey,2017-04-01 00:00:00,,
Liberty,8010738,Liquefied Petroleum Gas Carrier,5992,1982,Panama,,,Nautilus Marine S.A. ,Greece,Nautilus Marine S.A. ,Fanlight Shipping S.A. ,United States of America,Alang,India,2017-04-01 00:00:00,,
Navios Gemini S,9072173,Bulk Carrier,36074,1994,Panama,,,Navios Maritime Partners LP,Greece,Oldendorff Carriers GmbH & Co,Gemini Shipping Corp,Marshall Islands,Gadani,Pakistan,2017-12-01 00:00:00,,
Jamileh,8511603,General Cargo,7580,1986,Palau,,,Nereide Marine SA,Greece,Nereide Marine SA,Seablite Navigation Corp,Liberia,Gadani,Pakistan,2017-10-01 00:00:00,,
Eleni K,9086784,Bulk Carrier,16041,1997,Panama,,Shark Bay,Pendulum Shipping,Greece,Ritelane Marine Inc,Stalwart Shipping Inc,Panama,Gadani,Pakistan,2017-08-01 00:00:00,,
Eleni P.,9128025,Bulk Carrier,37707,1997,Liberia,,,Pittas Family ,Greece,Eurobulk Limited ,Eleni Shipping Limited ,Liberia,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Warrior,9186089,Tanker,57670,2000,Comoros,Panama,Keros Warrior,Polembros Shipping Ltd,Greece,Polembros Shipping Ltd,Morning Frost Shipping,Liberia,Chittagong,Bangladesh,2017-09-01 00:00:00,,
Labri,9032654,Tanker,25669,1992,Comoros,Singapore,,Polys Haji-Ioannou Group,Greece,World Tankers Management Pte,Alabra Shipping Pte Ltd,Singapore,Chittagong,Bangladesh,2017-10-01 00:00:00,,
Hawk,9104483,Bulk Carrier,26122,1994,Cyprus,,,Ranger Marine S.A. ,Greece,Ranger Marine S.A. ,Evelina Marine Limited ,Cyprus,Chittagong,Bangladesh,2017-02-01 00:00:00,,
Tychy,8302284,Roll On Roll Off,15652,1988,Panama,,,Reefer & General Ship-Management Company Incorporated ,Greece,Reefer & General Ship-Management Company Incorporated ,Maritime Operations Incorporated ,Panama,Alang,India,2017-01-01 00:00:00,,
Sea Boss,8603224,Bulk Carrier,15944,1987,Panama,,,Seamasters International SA,Greece,Seamasters International SA,Sea Partners International SA,Liberia,Alang,India,2017-12-01 00:00:00,,
Theofano,9177997,Bulk Carrier,37773,1998,Togo,Marshall Islands,,Seamax Marine Inc,Greece,Seamax Marine Inc,Anixis Maritime SA,Marshall Islands,Gadani,Pakistan,2017-11-01 00:00:00,,
Michalakis,8610928,Bulk Carrier,26128,1989,Bahamas,,VOC Progress,Seatrans Management,Greece,Seatrans Management,Seven Seas Holdings,Liberia,Gadani,Pakistan,2017-07-01 00:00:00,,
Evi,9035137,Tanker,39265,1993,Comoros,Panama,Evita,Smart Tankers Inc,Greece,Smart Tankers Inc,Imperial Eagle International,Liberia,Chittagong,Bangladesh,2017-10-01 00:00:00,,
Star Eleonora,9212113,Bulk Carrier,85957,2001,Marshall Islands,,,Star Bulk Carriers Corporation ,Greece,Star Bulk Management Incorporated ,Star Trident VII LLC ,Marshall Islands,Gadani,Pakistan,2017-03-01 00:00:00,,
Natty,9123398,Bulk Carrier,81329,1997,Marshall Islands,,,The Frangos-Moundreas Group ,Greece,Unimar Success SA ,Kramer Marine S.A. ,Marshall Islands,Gadani,Pakistan,2017-02-01 00:00:00,,
Tango,9123403,Bulk Carrier,81329,1997,Marshall Islands,,,The Frangos-Moundreas Group ,Greece,Unimar Success SA ,Delos Shipholding S.A. ,Marshall Islands,Gadani,Pakistan,2017-02-01 00:00:00,,
Atout,9074133,Bulk Carrier,38513,1994,Marshall Islands,,,The Frangos-Moundreas Group ,Greece,NGM Energy S.A. ,Secure Shipping Incorporated ,Marshall Islands,Chittagong,Bangladesh,2017-02-01 00:00:00,,
La Paz,9031650,Tanker,158475,1995,St Kitts & Nevis,Panama,,Tsakos Shipping & Trading SA,Greece,Hyundai Merchant Marine Co Ltd,Coastline Shipping Co,Liberia,Chittagong,Bangladesh,2017-10-01 00:00:00,,
Jian Da,8601434,General Cargo With Container Capacity,12301,1986,Panama,,,Able King Shipping Limited ,Hong Kong,Able King Shipping Limited ,Able King Shipping Limited ,Hong Kong,Chittagong,Bangladesh,2017-05-01 00:00:00,,
Topaz Ace,9077836,Roll On Roll Off,48210,1995,Panama,,,Cido Shipping (HK) Company Limited ,Hong Kong,Cido Shipping (HK) Company Limited ,Back-Boned Maritime S.A. ,Panama,Chittagong,Bangladesh,2017-04-01 00:00:00,,
Sava,9282974,Fully Cellular Containership,54626,2004,Palau,Liberia,Zim Savannah,Delphis Hunter Limited ,Hong Kong,Delphis Hunter Limited ,Carmine Dolphin Shipping Limited ,Hong Kong,Alang,India,2017-01-01 00:00:00,,
Hang Ta,9149354,Bulk Carrier,38898,1998,Panama,,,Fairweather Steamship Company Limited ,Hong Kong,Fairweather Steamship Company Limited ,Persepolis Shipping Corporation S.A. ,Panama,Jiangyin,China,2017-02-01 00:00:00,,
Rise Fortune,9083316,Tanker,53829,1995,Barbados,,,Fareast Ship Management,Hong Kong,Shan Ship Management Pvt Ltd,Rise Fortune Ventures Ltd,British Virgin Islands,Alang,India,2017-10-01 00:00:00,,
Grace Ocean,8500202,Bulk Carrier,10765,1986,Kiribati,,KBS Lucky,Golden Luck Shipping Ltd,Hong Kong,Golden Luck Shipping Ltd,Golden Luck Shipping Ltd,Hong Kong,Chittagong,Bangladesh,2017-08-01 00:00:00,,
Xiamen Jingtai,8920854,Bulk Carrier,56943,1992,Panama,,,Jingtai Shipping Company Limited ,Hong Kong,Jingtai Shipping Company Limited ,Jingtai Shipping Company Limited ,Hong Kong,Gadani,Pakistan,2017-02-01 00:00:00,,
Oriental Sunny,8318817,Bulk Carrier,14922,1985,Comoros,,,Shenghao Marine Hong Kong Limited ,Hong Kong,Shenghao Marine Hong Kong Limited ,Fuji Investment Development Limited ,Hong Kong,Jiangyin,China,2017-06-01 00:00:00,,
Bright State,9157442,General Cargo,9991,1997,Hong Kong,,,Sinotrans CSC Group Company Limited ,Hong Kong,Yangtze Navigation (Hong Kong) Company Limited ,Yangtze Navigation (Hong Kong) Company Limited ,China,Jiangyin,China,2017-05-01 00:00:00,,
Zhong Wai Yun Quan Zhou,9009176,Fully Cellular Containership,18487,1991,China,,,Sinotrans CSC Group Company Limited ,Hong Kong,Sinotrans CSC Group Company Limited ,Sinotrans Sunny Express Company Limited ,China,Jiangyin,China,2017-06-01 00:00:00,,
Csk Grandeur-I,9182734,Bulk Carrier,85906,2000,St Kitts & Nevis,Singapore,CSK Grandeur,Tai Chong Cheang Steamship Company (HK) Limited (TCC Hong Kong) ,Hong Kong,Tai Chong Cheang Steamship Company (HK) Limited (TCC Hong Kong) ,Grandeur Navigation Private Limited ,Singapore,Gadani,Pakistan,2017-04-01 00:00:00,,
Hen,8314122,Passenger (Cruise),47546,1986,St Kitts & Nevis,Malta,Henna,Triton International Investment Company Limited ,Hong Kong,Triton International Investment Company Limited ,Triton International Investment Company Limited ,Hong Kong,Alang,India,2017-04-01 00:00:00,,
Inox,8905957,Container Ship,37235,1990,Palau,China,,HNA Group International,Hong Kong ,Tianjin Marine Shipping Co Ltd,Tianjin Marine Shipping Co Ltd,Hong Kong ,Chittagong,Bangladesh,2017-11-01 00:00:00,,
Asian,9065429,Container Ship,4811,1993,Niue,Liberia,Asian Star,HNA Group International,Hong Kong  ,Tianjin Marine Shipping Co Ltd,Asian Eagle Shipping Ltd,Hong Kong  ,Chittagong,Bangladesh,2017-09-01 00:00:00,,
Huayuan,8219152,Tug/Supply Ship (O.R.S.V.),1313,1984,Liberia,,,China Merchants Steam Nav,Hong Kong  ,Shenzhen Huawei Offshore,Huayuan Shipping Liberia Inc,Liberia,Xinhui,China,2017-12-01 00:00:00,,
Zarah Sofia,8418930,Vehicles Carrier,24929,1985,Panama,Malaysia,,Cido Shipping HK Co Ltd,Hong Kong  ,Cido Car Carrier Service Co,Caribbean Emerald Shipping Inc,Panama,Chittagong,Bangladesh,2017-12-01 00:00:00,,
Sea Star 7,8310396,General Cargo,4136,1984,Panama,,,Hong Kong Seastar Shipping Ltd,Hong Kong  ,Hong Kong Seastar Shipping Ltd,Surplus Star Hong Kong Ltd,Hong Kong  ,Jiangyin,China,2017-07-01 00:00:00,,
Ryu Hong,8303238,General Cargo,2987,1983,Korea (North),,,Ocean Prime Shipping Ltd,Hong Kong  ,Korea Ryuhong Shipping Co,Ocean Prime Shipping Ltd,Hong Kong  ,Unknown,China,2017-11-01 00:00:00,,
Varada,9039626,Crude Oil Tanker,156539,1993,Comoros,Singapore,Varada Blessing,ABG Group ,India,Varada One Private Limited ,Varada One Private Limited ,Singapore,Chittagong,Bangladesh,2017-04-01 00:00:00,,
Tirupati,9030917,Crude Oil Tanker,79516,1994,Panama,,,Arya Group ,India,Arya Group ,Argo Global Trading FZE ,United Arab Emirates,Alang,India,2017-06-01 00:00:00,,
Distya Ameya,9077343,Crude Oil Tanker,52875,1995,India,,,Arya Group ,India,Arya Group ,Arya Ship Charterers Private Limited ,India,Alang,India,2017-12-01 00:00:00,,
Greenwich Progress,8845468,General Cargo,1484,1990,India,,,Greenwich Shipping P/R,India,Greenwich Shipping P/R,Greenwich Shipping P/R,India,Alang,India,2017-04-01 00:00:00,,
Yugalraj,9059951,Bulk Carrier,37550,1993,India,,Trans Emirates,Jindal ITF Ltd,India,Jindal ITF Ltd,Jindal ITF Ltd,India,Chittagong,Bangladesh,2017-09-01 00:00:00,,
The Just,9102344,Bulk Carrier,26449,1995,Panama,,,Merali family ,India,Merali family ,Rougemont Worldwide S.A. ,Panama,Gadani,Pakistan,2017-05-01 00:00:00,,
Prema,9074470,Bulk Carrier,36708,1994,Comoros,India,,Mercator Ltd,India,Mercator Ltd,Mercator Ltd,India,Gadani,Pakistan,2017-10-01 00:00:00,,
Theofano Moon,9032678,Tanker,25644,1993,Comoros,India,,Mercator Ltd,India,Mercator Ltd,Mercator Ltd,India,Alang,India,2017-11-01 00:00:00,,
Mutha Supreme,8514112,General Cargo,1830,1985,Dominica,,,MM Exports,India,Mohan Mutha Translogistics Pvt,Mega Trade Links Singapore,Singapore,Alang,India,2017-10-01 00:00:00,,
Samudrika 6,8311742,Anchor Handling Tug/Supply,951,1986,India,,,Oil and Natural Gas Corporation Limited (ONGC) ,India,Oil and Natural Gas Corporation Limited (ONGC) ,Oil and Natural Gas Corporation Limited (ONGC) ,India,Alang,India,2017-02-01 00:00:00,,
Milko,8221430,Bulk Carrier,27997,1987,St Kitts & Nevis,India,,Poompuhar Shipping Corp Ltd,India,Blue Whale Maritime Pvt Ltd,Tatiana Investments Ltd,St Kitts & Nevis,Gadani,Pakistan,2017-10-01 00:00:00,,
Zoya,7423495,Tug,775,1975,India,,,Prince Marine Transport Services Private Limited ,India,Prince Marine Transport Services Private Limited ,Prince Marine Transport Services Private Limited ,India,Alang,India,2017-04-01 00:00:00,,
Sagar 4,8308484,Anchor Handling Tug/Supply,1310,1984,India,,,S.S. Offshore Private Limited ,India,S.S. Offshore Private Limited ,S.S. Offshore Private Limited ,India,Alang,India,2017-06-01 00:00:00,,
Phoenix,8320523,Bulk Carrier,33285,1985,Comoros,India,Sanmar Phoenix,Sanmar Shipping Limited ,India,Sanmar Shipping Limited ,Sanmar Shipping Limited ,India,Chittagong,Bangladesh,2016-12-01 00:00:00,,
Serena,9015357,Tanker,25877,1992,Niue,India,Sanmar Serenade,Sanmar Shipping Ltd,India,TORM A/S,Sanmar Shipping Ltd,India,Chittagong,Bangladesh,2017-09-01 00:00:00,,
Raj,9045558,Container Ship,21963,1994,Niue,India,Rajiv Gandhi,SCI,India,SCI,SCI,India,Alang,India,2017-07-01 00:00:00,,
Tag 11,8600002,Fire Fighting Tug/Supply,1997,1987,India,,,TAG Offshore Limited ,India,TAG Offshore Limited ,TAG Offshore Limited ,India,Alang,India,2017-02-01 00:00:00,,
Nand Panna,8219140,Tug,1313,1984,India,,,TAG Offshore Limited ,India,TAG Offshore Limited ,TAG Offshore Limited ,India,Alang,India,2017-02-01 00:00:00,,
Nand Krishna,8219126,Tug,1313,1984,India,,,TAG Offshore Limited ,India,TAG Offshore Limited ,TAG Offshore Limited ,India,Alang,India,2017-02-01 00:00:00,,
Indira Gandhi,9045546,Fully Cellular Containership,21963,1993,India,,,The Shipping Corporation of India Limited ,India,The Shipping Corporation of India Limited ,The Shipping Corporation of India Limited ,India,Alang,India,2017-05-01 00:00:00,,
Ssl Sagarmala,8812734,Container Ship,6942,1989,India,,,Transworld Group,India,Orient Express Lines Inc,Shreyas Shipping & Logistics,India,Chittagong,Bangladesh,2017-11-01 00:00:00,,
Khaleej,9106170,Fully Cellular Containership,49985,1995,Comoros,Panama,OEL Khaleej Express,Transworld Group ,India,Transworld Bulk Carriers (India) Private Limited ,Orient Express Lines Incorporated ,Panama,Gadani,Pakistan,2017-01-01 00:00:00,,
Ssl Trust,9003471,Fully Cellular Containership,11872,1992,India,,,Transworld Group ,India,Shreyas Shipping & Logistics Limited ,Shreyas Shipping & Logistics Limited ,India,Chittagong,Bangladesh,2017-03-01 00:00:00,,
Oel Dubai,9128192,Fully Cellular Containership,31730,1997,Panama,,,Transworld Group ,India,Transworld Bulk Carriers (India) Private Limited ,Orient Express Lines Incorporated ,Panama,Alang,India,2017-03-01 00:00:00,,
Gem Of Paradip,8307806,Bulk Carrier,24127,1984,India,,,West Asia Maritime Ltd,India,West Asia Maritime Ltd,West Asia Maritime Ltd,India,Chittagong,Bangladesh,2017-10-01 00:00:00,,
Hurricane II,8516976,Tug/Supply Ship (O.R.S.V.),2311,1988,St Kitts & Nevis,Netherlands,Bluster,Hermes Maritime Services Pvt,India,Hermes Maritime Services Pvt,Aquarius Marine Ltd-SKN,St Kitts & Nevis,Alang,India,2017-09-01 00:00:00,,
Hurricane-I,8516988,Tug/Supply Ship (O.R.S.V.),1393,1988,St Kitts & Nevis,Netherlands,Boulder,Hermes Maritime Services Pvt,India,Hermes Maritime Services Pvt,Aquarius Marine Ltd-SKN,St Kitts & Nevis,Chittagong,Bangladesh,2017-11-01 00:00:00,,
Durga,9044487,Tanker,21853,1993,Niue,Indonesia,,Arpeni Pratama Ocean Line,Indonesia,Arpeni Pratama Ocean Line,Apol Cemerlang,Indonesia,Chittagong,Bangladesh,2017-11-01 00:00:00,,
Bintang Jasa 31,9031416,General Cargo,4164,1991,Indonesia,,,Bintang Jasa Samudra Line PT,Indonesia,Bintang Jasa Samudra Line PT,Bintang Jasa Samudra Line PT,Indonesia,Surabaya,Indonesia,2017-08-01 00:00:00,,
Caraka Jaya Niaga III-25,9018347,General Cargo,3260,1992,Indonesia,,,Caraka Tirta Perkasa PT,Indonesia,Caraka Tirta Perkasa PT,Pann Persero PT,Indonesia,Surabaya,Indonesia,2017-09-01 00:00:00,,
Seram,8003515,Hopper Dredger,3942,1981,Indonesia,,,Government of Indonesia ,Indonesia,Direktorat Jenderal Perhubungan Laut ,Direktorat Jenderal Perhubungan Laut ,Indonesia,Alang,India,2017-05-01 00:00:00,,
Betuah,7712078,Suction Hopper Dredger,3934,1978,Indonesia,,,Government of Indonesia ,Indonesia,Direktorat Jenderal Perhubungan Laut ,Direktorat Jenderal Perhubungan Laut ,Indonesia,Alang,India,2017-05-01 00:00:00,,
Echo,9143520,Tanker,57031,1997,Cook Islands,Indonesia,,Multigroup Logistics Co PT,Indonesia,Multiline Shipping Co PT,Multilintas Agung Perkasa PT,Indonesia,Chittagong,Bangladesh,2017-11-01 00:00:00,,
Larasati,8913954,Crude Oil Tanker,81194,1991,Comoros,Indonesia,Andhika Larasati,P.T. Andhika Lines ,Indonesia,P.T. Andhika Lines ,P.T. Andhika Lines ,Indonesia,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Gas Concord,7373353,Floating Gas Storage,44228,1976,Singapore,,,P.T. Berlian Laju Tanker Tbk. ,Indonesia,P.T. Berlian Laju Tanker Tbk. ,LGT Shipping Private Limited ,Singapore,Chittagong,Bangladesh,2017-04-01 00:00:00,,
Meratus Java,9128087,Fully Cellular Containership,24053,1997,Indonesia,,,P.T. Mitra Ocean Line ,Indonesia,P.T. Mitra Ocean Line ,P.T. Mitra Ocean Line ,Indonesia,Chittagong,Bangladesh,2017-05-01 00:00:00,,
Vries Viena,9112052,Product Tanker,21145,1995,Indonesia,,,P.T. Pelayaran Vries Maritim Pratama ,Indonesia,P.T. Pelayaran Vries Maritim Pratama ,P.T. Pelayaran Vries Maritim Pratama ,Indonesia,Chittagong,Bangladesh,2017-05-01 00:00:00,,
Paus One,7228596,Cement Carrier,6638,1972,Indonesia,,Pacific Arrow,Paus Indonesia PT,Indonesia,Paus Indonesia PT,Paus Indonesia PT,Indonesia,Chittagong,Bangladesh,2017-09-01 00:00:00,,
Lombo,8906652,Fully Cellular Containership,5070,1990,Indonesia,,Colombo,PT Inti Trident Nusantara ,Indonesia,PT Inti Trident Nusantara ,PT Inti Trident Nusantara ,Indonesia,Alang,India,2017-04-01 00:00:00,,
Mcc Java,9060297,Fully Cellular Containership,17391,1994,Indonesia,,,PT Pelayaran Bintang Putih Menara Batavia ,Indonesia,PT Pelayaran Bintang Putih Menara Batavia ,PT Pelayaran Bintang Putih Menara Batavia ,Indonesia,Jiangyin,China,2017-04-01 00:00:00,,
Meratus Spirit 1,8602749,General Cargo With Container Capacity,9909,1989,Indonesia,,,PT. Meratus Line ,Indonesia,PT. Meratus Line ,P.T. Meratus Tongkang Services ,Indonesia,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Meratus Balikpapan 1,9172296,General Cargo,5931,1997,Indonesia,,Sky Success,PT. Meratus Line ,Indonesia,PT. Meratus Line ,P.T. Meratus Tongkang Services ,Indonesia,Chittagong,Bangladesh,2017-08-01 00:00:00,,
Pelita Andalas,6721474,Bulk Cement Carrier,3641,1967,Indonesia,,,PT. Vierlines ,Indonesia,PT. Vierlines ,PT. Vierlines ,Indonesia,Unknown,Indonesia,2017-02-01 00:00:00,,
Ayan,9036416,Container Ship,4937,1990,Palau,Indonesia,,Tanto Intim Line PT,Indonesia,Tanto Intim Line PT,Tanto Intim Line PT,Indonesia,Chittagong,Bangladesh,2017-10-01 00:00:00,,
Concertina I,9004607,Tanker,52048,1992,Togo,Indonesia,,Trada International,Indonesia,Cobb Maritime Ltd,Cobb Maritime Ltd,Marshall Islands,Chittagong,Bangladesh,2017-11-01 00:00:00,,
Tunas Dua,8017877,General Cargo,2281,1980,Indonesia,,,Unknown owners,Indonesia,Indah Permata PT,Indah Permata PT,Indonesia,Surabaya,Indonesia,2017-09-01 00:00:00,,
Susel Prima Permai III,7722334,Tanker,928,1978,Indonesia,,,Unknown owners,Indonesia,Anggun Bahari,Anggun Bahari,Indonesia,Surabaya,Indonesia,2017-09-01 00:00:00,,
Anugerah Berlian,8507133,Tanker,5604,1985,Indonesia,,,Unknown owners,Indonesia,Pegasus Lintas Samudera,Pegasus Lintas Samudera,Indonesia,Surabaya,Indonesia,2017-09-01 00:00:00,,
Agiasma,8701507,Tanker,17018,1989,Indonesia,,,Waruna Nusa Sentana PT,Indonesia,Waruna Nusa Sentana PT,Waruna Nusa Sentana PT,Indonesia,Chittagong,Bangladesh,2017-12-01 00:00:00,,
Rad,7905584,General Cargo With Container Capacity,2063,1980,Iran,,ourad 1,Control Pardaz Company Limited ,Iran,Control Pardaz Company Limited ,Seyyed Ahmad Pourmatouri & Masoud Khayatzade ,Iran,Alang,India,2017-06-01 00:00:00,,
Teen 1,9101649,Bulk Carrier,26828,1995,Togo,,Teen,Iran Shipping Lines,Iran,IranoHind Shipping Co Ltd,Alicia Marine Co Ltd,Belize,Gadani,Pakistan,2017-07-01 00:00:00,,
Dan,8320171,Bulk Carrier,25768,1986,Comoros,Iran,Tabandeh,Iran Shipping Lines,Iran,Sapid Shipping Co,Sparkle Brilliant Development,Hong Kong  ,Gadani,Pakistan,2017-07-01 00:00:00,,
Ram,9209336,Container Ship,36014,2000,Comoros,Iran,Sana,Iran Shipping Lines,Iran,Rahbaran Omid Darya Ship Mgmt,Kish Roaring Ocean Shipping Co,Iran,Alang,India,2017-07-01 00:00:00,,
Attar,9074092,Bulk Carrier,25885,1994,Togo,,,Irano-Hind Shipping Company Limited ,Iran,Irano-Hind Shipping Company Limited ,Alicia Marine Company Limited ,Belize,Gadani,Pakistan,2017-05-01 00:00:00,,
Sattar,9040479,Bulk Carrier,24155,1992,Togo,,,Irano-Hind Shipping Company Limited ,Iran,Irano-Hind Shipping Company Limited ,Alicia Marine Company Limited ,Belize,Gadani,Pakistan,2017-06-01 00:00:00,,
Crown,9077874,Tanker,157863,1995,Comoros,Iran,,IRISL Group ,Iran,Great Sparkle Investments Ltd,Great Sparkle Investments Ltd,Hong Kong  ,Alang,India,2017-12-01 00:00:00,,
Angle,9051650,General Cargo With Container Capacity,16620,1997,Comoros,Iran,Orang,Islamic Republic of Iran Shipping Lines Company (IRISL) ,Iran,Mosakhar Darya Shipping Company ,Mosakhar Darya Shipping Company ,Iran,Alang,India,2017-04-01 00:00:00,,
Marlim,9013749,Tanker,160129,1993,Comoros,Mongoli,Aura,NITC,Iran,Sambouk Shipping FZC,Grace Bay Shipping Inc,Marshall Islands,Alang,India,2017-08-01 00:00:00,,
Falcon,9005235,Tanker,156096,1993,Comoros,,Bright,NITC,Iran,Sambouk Shipping FZC,Garbin Navigation Ltd,Marshall Islands,Alang,India,2017-09-01 00:00:00,,
Opportunity,9079080,Tanker,156809,1996,Comoros,Iran,Nona,NITC,Iran,NITC,Azarpad Qeshm Co,Iran,Alang,India,2017-09-01 00:00:00,,
Marlim,9079092,Tanker,156809,1996,Comoros,Iran,Nadin,NITC,Iran,NITC,Azarpad Qeshm Co,Iran,Alang,India,2017-09-01 00:00:00,,
Tin Tin,9003237,Tanker,81135,1992,Palau,Iran,,Unknown owners,Iran,Sapid Shipping Co,Behengam Tadbeer Qeshm Shpg Co,Iran,Alang,India,2017-12-01 00:00:00,,
Woolamai,9231793,Container Ship,53453,2002,Liberia,,,XT Group,Israel,XT Management Ltd,Halton Maritime SA,Liberia,Gadani,Pakistan,2017-11-01 00:00:00,,
Cape Tavor,9189249,Bulk Carrier,87363,1999,Liberia,,,XT Management Limited ,Israel,XT Maritime Limited ,Ington Maritime Limited ,Liberia,Chittagong,Bangladesh,2017-04-01 00:00:00,,
Ksa Explorer,7729071,Mining Ship,2632,1979,St Vincent & The Grenadines,,SA Explorer,Argo S.r.l. ,Italy,Argo S.r.l. ,Global Mineral Holdings Limited ,Bahamas,Alang,India,2017-06-01 00:00:00,,
Alica,7942075,Oceanographic Research,5825,1981,Palau,Italy,Italica,Argo S.r.l. ,Italy,Argo S.r.l. ,Diamar S.r.l. ,Italy,Alang,India,2017-06-01 00:00:00,,
Bsle Vivy,9109093,General Cargo,5799,1994,Panama,,Atlant Frauke,BSLE Italia Srl,Italy,BSLE Italia Srl,BSLE Italia Srl,Italy,Alang,India,2017-07-01 00:00:00,,
Atlantic Cartier,8215481,Roro Cargo,58358,1985,Sweden,,,Grimaldi Group SpA,Italy,Atlantic Container Line AB,Atlantic Container Line AB,Sweden,Alang,India,2017-09-01 00:00:00,,
Atlantic Conveyor,8215534,Roro Cargo,58438,1985,Sweden,,,Grimaldi Group SpA,Italy,Atlantic Container Line AB,Atlantic Container Line AB,Sweden,Alang,India,2017-10-01 00:00:00,,
Micoperi 12,7735757,Crane Pontoon,1172,1932,Panama,,,Micoperi SpA,Italy,Micoperi SpA,Micoperi SpA,Italy,Aliaga,Turkey,2017-11-01 00:00:00,,
Crawler,8758706,Pipelayer Crane Barge,20792,1955,Panama,,,Micoperi SpA,Italy,Micoperi SpA,Micoperi SpA,Italy,Aliaga,Turkey,2017-11-01 00:00:00,,
Spring,8900402,Bulk Carrier,60168,1992,St Kitts & Nevis,Italy,Four Springs,Premuda SpA,Italy,Ancilia Shipping Ltd,Ancilia Shipping Ltd,Cyprus,Chittagong,Bangladesh,2017-09-01 00:00:00,,
Our Moon,8225010,Tanker,34845,1984,Palau,Italy,,Premuda SpA,Italy,Premuda Spa,Premuda Spa,Italy,Alang,India,2017-10-01 00:00:00,,
Euro,9236664,Fully Cellular Containership,25580,2002,Brazil,,R.R. Europa,Rimorchiatori Riuniti SpA ,Italy,Rimorchiatori Riuniti S.p.A. ,Rimorchiatori Riuniti S.p.A. ,Italy,Alang,India,2017-04-01 00:00:00,,
Rabeo,8754956,Drilling Rig,12667,1975,Portugal,,Scarabeo 3,SAIPEM SpA,Italy,SAIPEM Misr for Petroleum,SAIPEM Portugal Comercio,Madeira,Aliaga,Turkey,2017-01-01 00:00:00,,
Rabeo 6,8750352,"Platform, Semi-Submersible",19516,1984,Tanzania ,Bahamas,Scarabeo 6,SAIPEM SpA,Italy,SAIPEM Misr for Petroleum,SAIPEM Misr for Petroleum,Egypt,Aliaga,Turkey,2017-12-01 00:00:00,,
Jaohar Zanobia,8609620,General Cargo With Container Capacity,6500,1987,Cook Islands,,,Vittorio Bogazzi & Figli S.p.A. ,Italy,Vittorio Bogazzi & Figli S.p.A. ,Vittorio Bogazzi & Figli S.p.A. ,Italy,Alang,India,2017-02-01 00:00:00,,
