VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,Unnamed: 6,NAME CHANGE,OWNERSHIP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,DESTINATION,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Jin V,9215634,Fully Cellular Containership,65918,2000,St Kitts & Nevis,Germany,Hanjin Vienna,Conti Holding GmbH & Company KG ,Germany,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti 24 Alemania Schiffahrts-GmbH & Company KG ms Conti Lissabon ,Germany,Alang,India,2017-04-01 00:00:00,,
Spirit,9171826,Crude Oil Tanker,62619,1999,Palau,Liberia,Kiowa Spirit,Dr Peters GmbH & Co KG,Germany,Dr Peters GmbH & Co KG,DS-Rendite-Fonds Nr.104 Teekay Spirit GmbH & Company Tankschiff KG ,Germany,Chittagong,Bangladesh,2017-06-01 00:00:00,,
Crown,9179646,Tanker,156802,1999,Palau,Liberia,,Dr Peters GmbH & Co KG,Germany,Magellan Chartering Services,Front Crown GmbH & Co,Germany,Chittagong,Bangladesh,2017-12-01 00:00:00,,
Golden,8007808,Bulk Carrier,45910,1982,Palau,Liberia,E. Oldendorff,Egon Oldendorff GmbH & Co KG,Germany,Oldendorff Carriers GmbH & Co,EOL Panamax Inc,Liberia,Gadani,Pakistan,2017-07-01 00:00:00,,
Sveti Nikola I,9102966,Bulk Carrier,25600,1997,Marshall Islands,,,Egon Oldendorff KG ,Germany,Oldendorff Carriers GmbH & Company KG ,Rosebank Maritime Incorporated ,Liberia,Gadani,Pakistan,2017-04-01 00:00:00,,
Sun 1,9160425,Container Ship,26125,1998,St Kitts & Nevis,Liberia,E. R. Hamburg,ER Schiffahrt GmbH & Cie KG,Germany,MSC Mediterranean Shipping Co,ER Hamburg Schiffahrts,Germany,Gadani,Pakistan,2017-09-01 00:00:00,,
Solent,9226322,General Cargo With Container Capacity,24918,2002,Malta,,,F.H. Bertling Reederei GmbH ,Germany,F.H. Bertling Reederei GmbH ,ms Provence Schiffahrtsges. mbH & Company KG ,Malta,Alang,India,2017-05-01 00:00:00,,
Guru,9150183,Fully Cellular Containership,40465,1997,St Kitts & Nevis,Liberia,Buxtaurus,Gebab Konzeptions- und Treuhandgesellschaft mbH & Company KG ,Germany,Gebab Konzeptions- und Treuhandgesellschaft mbH & Company KG ,ms Ville de Taurus BS Schiffsbeteiligungsgesellschaft mbH & Company KG ,Germany,Alang,India,2017-04-01 00:00:00,,
Stark,9150200,Fully Cellular Containership,49308,1997,St Kitts & Nevis,Liberia,Buxstar,Gebab Konzeptions- und Treuhandgesellschaft mbH & Company KG ,Germany,Gebab Konzeptions- und Treuhandgesellschaft mbH & Company KG ,ms Ville de Mimosa BS Schiffsbeteiligungsgesellschaft mbH & Company KG ,Germany,Chittagong,Bangladesh,2017-04-01 00:00:00,,
Rita,9235074,Fully Cellular Containership,40306,2000,Comoros,Gibraltar,Mare Britannicum,Hansa Mare Reederei GmbH & Company ,Germany,Hansa Mare Reederei GmbH & Company ,ms Mare Britannicum Schiffahrtsges. mbH & Company KG ,Germany,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Marie,9193238,Fully Cellular Containership,40306,1999,Comoros,Antigua & Barbuda,Mare Lycium,Hansa Mare Reederei GmbH & Company ,Germany,Hansa Mare Reederei GmbH & Company ,ms Mare Lycium Schiffahrtsges. mbH & Company KG ,Germany,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Mare Atlanticum-1,9213272,Fully Cellular Containership,40306,2000,Togo,Antigua & Barbuda,Mare Atlanticum,Hansa Mare Reederei GmbH & Company ,Germany,Hansa Mare Reederei GmbH & Company ,ms Mare Atlanticum Schiffahrtsges. mbH & Company KG ,Germany,Chittagong,Bangladesh,2017-02-01 00:00:00,,
Mare Siculum-I,9169134,Fully Cellular Containership,40306,1998,St Kitts & Nevis,Antigua & Barbuda,Mare Siculum,Hansa Mare Reederei GmbH & Company ,Germany,Hansa Mare Reederei GmbH & Company ,ms Mare Siculum Schiffahrtsges. mbH & Company KG ,Germany,Alang,India,2017-03-01 00:00:00,,
Mare Phoenicium,9193226,Fully Cellular Containership,40306,1999,Gibraltar,,,Hansa Mare Reederei GmbH & Company ,Germany,Hansa Mare Reederei GmbH & Company ,ms Mare Phoenicium Schiffahrtsges. mbH & Company KG Schiffahrtsges. mbH & Company KG ,Germany,Alang,India,2017-01-01 00:00:00,,
Bravo,9222091,Fully Cellular Containership,30024,2001,Antigua & Barbuda,,,Hansa Treuhand Schiffsbeteiligungs AG & Company ,Germany,Hansa Treuhand Schiffsbeteiligungs AG & Company ,Schiffahrtsges. ms Bravo mbH & Company KG,Germany,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Bella-I,9228526,Fully Cellular Containership,30024,2001,St Kitts & Nevis,Antigua & Barbuda,Bella,Hansa Treuhand Schiffsbeteiligungs AG & Company ,Germany,Hansa Treuhand Schiffsbeteiligungs AG & Company ,Bella Shipping Company Limited ,Antigua & Barbuda,Alang,India,2017-01-01 00:00:00,,
Hs Columbia,9225079,Fully Cellular Containership,65131,2001,Liberia,,,Hansa Treuhand Schiffsbeteiligungs AG & Company ,Germany,Hansa Shipping GmbH & Company KG ,HS Colombia Shipping Company Limited ,Liberia,Chittagong,Bangladesh,2017-03-01 00:00:00,,
Sun,9228540,Fully Cellular Containership,30024,2002,St Kitts & Nevis,Antigua & Barbuda,Bosun,Hansa Treuhand Schiffsbeteiligungs AG & Company ,Germany,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G. ,ms Bosun Schiffahrts-Gesellschaft mbH & Company KG ,Germany,Chittagong,Bangladesh,2017-04-01 00:00:00,,
Juist Trader,9138290,Fully Cellular Containership,25361,1998,Liberia,,,Hermann Buss GmbH & Cie KG ,Germany,Hermann Buss GmbH & Cie KG ,Hermann Buss GmbH & Company KG ms Juist Trader ,Germany,Alang,India,2017-06-01 00:00:00,,
Anna,9154218,Fully Cellular Containership,25713,1997,St Kitts & Nevis,Antigua & Barbuda,Anna Schepers,HS Schiffahrts GmbH & Company KG ,Germany,HS Schiffahrts GmbH & Company KG ,HS Schiffahrts GmbH & Co. KG ms Anna Schepers ,Germany,Alang,India,2017-03-01 00:00:00,,
Carola,9159543,Bulk Carrier,38364,1997,Liberia,,,Johann M.K. Blumenthal GmbH & Company KG ,Germany,Johann M.K. Blumenthal GmbH & Company KG ,New Success Maritime Limited ,Liberia,Gadani,Pakistan,2017-02-01 00:00:00,,
Hansa,9152612,Fully Cellular Containership,16915,1998,Liberia,,Hansa Calypso,Leonhardt & Blumberg Group ,Germany,Leonhardt & Blumberg Schiffahrtsges. mbH & Company ,Schiffahrts-Gesellschaft Hansa Calypso mbH & Company ,Germany,Alang,India,2017-01-01 00:00:00,,
Stella,9152595,Fully Cellular Containership,16915,1998,Liberia,,Hansa Castella,Leonhardt & Blumberg Group ,Germany,Leonhardt & Blumberg Schiffahrtsges. mbH & Company ,Schiffahrtsgesellschaft Hansa Castella mbH & Company ,Germany,Alang,India,2017-02-01 00:00:00,,
Purple Beach,9138135,General Cargo With Container Capacity,23401,1998,Marshall Islands,,,MACS Maritime Carrier Shipping GmbH & Company KG ,Germany,MACS Maritime Carrier Shipping GmbH & Company KG ,Purple Beach Shipping GmbH & Company ,Germany,Aliaga,Turkey,2017-04-01 00:00:00,,
Nette,9279094,Bulk Carrier,17534,2003,Liberia,,Anette,MST Mineralien Schiffahrt Spedition und Transport GmbH ,Germany,MST Mineralien Schiffahrt Spedition und Transport GmbH ,Reederei ms Anette GmbH & Company KG ,Germany,Alang,India,2017-01-01 00:00:00,,
Bing N.,9002776,Bulk Ore Carrier,154030,1992,Liberia,,,Neu Seeschiffahrt GmbH ,Germany,Neu Seeschiffahrt GmbH ,General Ore Carrier Corporation XII Limited ,Panama,Chittagong,Bangladesh,2017-02-01 00:00:00,,
Eva N. ,9127150,Bulk Ore Carrier,107512,1997,Liberia,,,Neu Seeschiffahrt GmbH ,Germany,General Ore International Corporation ,General Ore Carrier Corporation XI Limited ,Liberia,Chittagong,Bangladesh,2017-02-01 00:00:00,,
Dorila 1,8614194,Fully Cellular Containership,10811,1987,Comoros,Liberia,Frontier,Norddeutsche Vermogen Holding GmbH & Company ,Germany,Norddeutsche Vermogen Holding GmbH & Company ,Reederei Suderelbe GmbH & Company Schiffahrts KG ,Germany,Chittagong,Bangladesh,2017-05-01 00:00:00,,
Alster,9232383,Fully Cellular Containership,25630,2002,St Kitts & Nevis,Marshall Islands,Wehr Alster,Oskar Wehr KG (GmbH & Company) ,Germany,Oskar Wehr KG (GmbH & Company) ,SBT Shipping Company Limited ,Marshall Islands,Alang,India,2017-02-01 00:00:00,,
Monia,9175975,Fully Cellular Containership,29383,1997,Comoros,Liberia,Hammonia Internum,Peter Dohle Schiffahrts,Germany,Hammonia Reederei GmbH & Company KG ,ms Hammonia Internum Schiffahrts GmbH & Company KG ,Germany,Chittagong,Bangladesh,2016-12-01 00:00:00,,
Cs Discovery,9219355,Fully Cellular Containership,35824,2001,Liberia,,,Peter Dohle Schiffahrts,Germany,Peter Dohle Schiffahrts,Loretta Schiffahrts GmbH & Company ,Liberia,Alang,India,2017-01-01 00:00:00,,
Hammonia Francia,9280665,Fully Cellular Containership,65247,2004,Liberia,Madeira,,Peter Dohle Schiffahrts,Germany,HCI Hammonia Shipping AG ,Hammonia Francia Shipping Company Limited ,Liberia,Gadani,Pakistan,2017-02-01 00:00:00,,
Elgi,9149304,Fully Cellular Containership,25608,1997,Comoros,Liberia,Belgica,Peter Dohle Schiffahrts,Germany,Hammonia Reederei GmbH & Company KG ,Europa I Schiffsfonds GmbH & Company KG ,Germany,Alang,India,2017-01-01 00:00:00,,
Grenada,9477311,Fully Cellular Containership,40541,2010,Palau,Portugal,Hammonia Grenada,Peter Dohle Schiffahrts,Germany,Hammonia Reederei GmbH & Company KG ,ms Hammonia Grenada Schiffahrts GmbH & Company KG ,Germany,Chittagong,Bangladesh,2017-02-01 00:00:00,,
Carat,9326794,Fully Cellular Containership,54809,2005,Comoros,Liberia,ANL Waratah,Reederei Claus-Peter Offen (GmbH & Company KG) ,Germany,Reederei Claus-Peter Offen (GmbH & Company KG) ,Zweite ms Santa Placida Offen Reederei GmbH & Company KG ,Germany,Gadani,Pakistan,2017-04-01 00:00:00,,
Rich S.,9158513,Fully Cellular Containership,25624,1998,Antigua & Barbuda,,Heinrich S.,Reederei Heinrich und Rudolf Schepers ,Germany,Reederei Heinrich und Rudolf Schepers GmbH ,H.& H. Schepers GmbH & Company KG ms Heinrich S. ,Germany,Alang,India,2017-01-01 00:00:00,,
Burg-1,9137674,Container Ship,23896,1997,Comoros,Liberia,Westerburg,Rendsburg Schiffahrtskontor,Germany,MSC Mediterranean Shipping Co,Burg Shipping Co Ltd,Liberia,Chittagong,Bangladesh,2017-10-01 00:00:00,,
Alexandra Rickmers I,9152739,Container Ship,26131,1997,St Kitts & Nevis,Liberia,Alexandra Rickmers,Rickmers Reederei GmbH & Cie,Germany,MSC Mediterranean Shipping Co,Alexa Navigation Co Ltd,Liberia,Gadani,Pakistan,2017-09-01 00:00:00,,
Florida 1,9236547,Container Ship,51364,2005,St Kitts & Nevis,Liberia,,Rickmers Reederei GmbH & Cie,Germany,Rickmers Reederei GmbH & Cie,Astir Maritime No 2 Ltd,Marshall Islands,Gadani,Pakistan,2017-10-01 00:00:00,,
India Rickmers,9404194,Fully Cellular Containership,40542,2009,Marshall Islands,,,Rickmers Reederei GmbH & Cie,Germany,Rickmers Maritime ,India Navigation Limited ,Marshall Islands,Alang,India,2017-01-01 00:00:00,,
Will,9160413,Fully Cellular Containership,26125,1998,Palau,Marshall Islands,Willi,Rickmers Reederei GmbH & Cie,Germany,Rickmers Reederei GmbH & Cie KG ,ms Willi Rickmers Schiffahrts mbH & Cie ,Germany,Alang,India,2017-02-01 00:00:00,,
Kaethe,9287912,Fully Cellular Containership,54214,2004,Palau,Marshall Islands,Kaethe C.Rickmers,Rickmers Reederei GmbH & Cie,Germany,Rickmers Maritime ,Kaethe Navigation Limited ,Marshall Islands,Chittagong,Bangladesh,2017-03-01 00:00:00,,
Mann,9153408,Fully Cellular Containership,25359,1998,Liberia,,Ute Oltmann,Schiffahrtsgesellschaft Oltmann Verwaltungs mbH & Co KG ,Germany,Schiffahrtsgesellschaft Oltmann Verwaltungs mbH & Co KG ,ms Ute Oltmann Schiffahrtsgesellschaft mbH & Company KG ,Germany,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Deltagas,9008471,Liquefied Petroleum Gas Carrier,3011,1992,Antigua & Barbuda,,,Sloman Neptun Schiffahrts-AG ,Germany,Sloman Neptun Schiffahrts-AG ,Partenreederei mt Deltagas ,Germany,Aliaga,Turkey,2017-04-01 00:00:00,,
Antaios,9196383,Bulk Carrier,18095,1999,Liberia,,,Amalthia Marine Incorporated ,Greece,Amalthia Marine Incorporated ,Capoeira Shipping Incorporated ,Liberia,Gadani,Pakistan,2017-05-01 00:00:00,,
Astro Arcturus,9122916,Tanker,53074,1997,Greece,,,Anangel Shipping Enterprises,Greece,Pantheon Tankers Management,Delview ENE,Greece,Chittagong,Bangladesh,2017-08-01 00:00:00,,
Rana,9042063,Tanker,153429,1995,Palau,Greece,Maran Lyra,Anangel Shipping Enterprises,Greece,Maran Tankers Management Inc,Lyra I ENE,Greece,Chittagong,Bangladesh,2017-09-01 00:00:00,,
Ekta,9073050,Tanker,156565,1995,Palau,Greece,Maran Centaurus,Anangel Shipping Enterprises,Greece,Maran Tankers Management Inc,Centaurus ENE,Greece,Chittagong,Bangladesh,2017-09-01 00:00:00,,
Impros I,9041435,Tanker,55743,1994,St Kitts & Nevis,Liberia,Impros,Avin International Ltd,Greece,Avin International Ltd,Irene Trading Corp,Liberia,Alang,India,2017-09-01 00:00:00,,
Kriti Amethyst,9074999,Tanker,31330,1996,Greece,,,Avin International SA,Greece,Avin International Ltd,Kriti Amethyst ENE,Greece,Chittagong,Bangladesh,2017-10-01 00:00:00,,
Box Marlin 1,9330989,Fully Cellular Containership,54309,2007,Liberia,,,Box Ships Incorporated ,Greece,Box Ships Incorporated ,Alaqua Marine Limited ,Liberia,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Box Kingfish,9330991,Fully Cellular Containership,54309,2007,Liberia,,CMA CGM Kingfish,Box Ships Incorporated ,Greece,Box Ships Incorporated ,Tacita Oceanway Carrier Company ,Liberia,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Brazilian Reefer,8300377,Refrigerated Cargo,12383,1984,Bahamas,,Betty B,Chartworld Shipping Corp,Greece,Cool Carriers AB,Pearl Maritime Inc,Marshall Islands,Alang,India,2017-09-01 00:00:00,,
Sonoma,9123520,Fully Cellular Containership,16252,1997,Marshall Islands,,,Conbulk Shipping S.A. ,Greece,Conbulk Shipping S.A. ,Olive Shipping Investments LLC ,Marshall Islands,Alang,India,2017-01-01 00:00:00,,
Cresco,9122033,Fully Cellular Containership,16800,1996,Liberia,,,Conbulk Shipping S.A. ,Greece,Conbulk Shipping S.A. ,Cresco Shipping AS ,Greece,Chittagong,Bangladesh,2017-02-01 00:00:00,,
Roman,9275634,Fully Cellular Containership,54881,2003,Hong Kong,,Romanos,Costamare Inc,Greece,Costamare Shipping Company S.A. ,Cagney Shipping Company ,Hong Kong,Alang,India,2017-02-01 00:00:00,,
Arina,8906743,Fully Cellular Containership,37209,1992,St Kitts & Nevis,Malta,Marina,Costamare Inc,Greece,Costamare Shipping Company S.A. ,Fay Shipping Company ,Liberia,Alang,India,2017-03-01 00:00:00,,
Mandra,8613310,Container Ship,52191,1988,Comoros,Greece,Mandraki,Costamare Inc,Greece,Costamare Shipping Co SA,Marathos Shipping Inc,Liberia,Chittagong,Bangladesh,2017-09-01 00:00:00,,
Msc Mykonos,8613308,Container Ship,52191,1988,Greece,,MSC Mykonos,Costamare Inc,Greece,MSC Mediterranean Shipping Co,Bullow Investments Inc,Liberia,Alang,India,2017-09-01 00:00:00,,
Crete,8806371,Product Tanker,25060,1988,Liberia,,,Dragnis Group ,Greece,Oceangold Tankers Incorporated ,Rosaville Shipping Incorporated ,Liberia,Chittagong,Bangladesh,2017-01-01 00:00:00,,
Sentinel I,8309567,Chemical Tanker,28195,1985,Liberia,,,Dragnis Group ,Greece,Oceangold Tankers Incorporated ,Synergy Navigation S.A. ,Liberia,Alang,India,2017-04-01 00:00:00,,
Brilliant,9002398,Fully Cellular Containership,9151,1992,Liberia,,,Dragnis Group ,Greece,Goldenport Shipmanagement Limited ,Greco Services Limited ,Greece,Chittagong,Bangladesh,2017-04-01 00:00:00,,
Tron,9074585,Tanker,38667,1996,Palau,Greece,Stavronisi,Eletson Group,Greece,Stavronisi ENE,Stavronisi ENE,Greece,Chittagong,Bangladesh,2017-07-01 00:00:00,,
Aggeliki P.,9146302,Container Ship,23809,1998,Liberia,,,Eurobulk Ltd,Greece,MSC Mediterranean Shipping Co,Aggeliki Shipping Ltd,Liberia,Alang,India,2017-12-01 00:00:00,,
Mar,9162033,Product Tanker,42237,1997,St Kitts & Nevis,Liberia,Arietis,Eurotankers Inc,Greece,Eurotankers Inc,Alberti Marine Incorporated ,Liberia,Chittagong,Bangladesh,2017-04-01 00:00:00,,
Genie,8920866,Tanker,55048,1993,Liberia,,Pink Sands,Eurotankers Inc,Greece,Eurotankers Inc,Marbella Investments Inc,Liberia,Chittagong,Bangladesh,2017-07-01 00:00:00,,
Arabian Sea Fos,8022925,Anchor Handling Fire Fighting Tug/Supply,1313,1981,Panama,,,Five Oceans Salvage,Greece,Five Oceans Salvage Consultants Limited ,Arabian Sea Fos Shipping Limited ,Liberia,Aliaga,Turkey,2017-04-01 00:00:00,,
Caribbean Fos,8130930,Tug/Supply,1797,1982,Panama,,,Five Oceans Salvage,Greece,Five Oceans Salvage Consultants Limited ,Caribbean Fos Shipping Limited ,Greece,Aliaga,Turkey,2017-04-01 00:00:00,,
Coral Sea Fos,8028474,Tug/Supply Ship (O.R.S.V.),1316,1982,Panama,,Pacific Commodore,Five Oceans Salvage,Greece,Five Oceans Salvage,Coral Sea FOS Shipping Ltd,Liberia,Alang,India,2017-07-01 00:00:00,,
Helen,9129823,Fully Cellular Containership,16165,1996,Comoros,Liberia,Eleni I,George Youroukos group of companies ,Greece,Black Pearl Containers LLC ,Vivaldi Marine LLC ,Marshall Islands,Chittagong,Bangladesh,2017-02-01 00:00:00,,
Gitte,9020950,Container Ship,9151,1992,Malta,,,Goldenport Shipmanagement Ltd,Greece,MSC Mediterranean Shipping Co,Bianca Marine Ltd,Liberia,Gadani,Pakistan,2017-10-01 00:00:00,,
Champion,8800511,Tanker,22572,1990,Liberia,,,Goldenport Shipmanagement Ltd,Greece,OceanGold Tankers Inc,Rana Maritime Co,Liberia,Chittagong,Bangladesh,2017-11-01 00:00:00,,
Fortunate,9112272,Container Ship,64054,1996,Panama,,,Goldenport Shipmanagement Ltd,Greece,Goldenport Shipmanagement Ltd,Brazil Shipping Ltd,Liberia,Alang,India,2017-12-01 00:00:00,,
