VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,OWNERSHIP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,DESTINATION,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
8707721,DORADO,Fish Factory Ship,1943,0,1987,Guinea-Bissau,,Batterfisa Ltd,Latvia,Batterfisa Ltd,Batterfisa Ltd,Latvia,Aliaga,Turkey,2024-12-01 00:00:00,,
7392593,NEZHA,General Cargo Ship,2787,1571,1973,Comoros,,Cedar Marine Services SAL,Lebanon,Cedar Marine Services SAL,Nezha Shipping Co,Liberia,Alang,India,2024-06-01 00:00:00,,
8401523,PROFESSOR B,Container Ship (Fully Cellular),10733,5121,1984,Comoros,,Cedar Marine Services SAL,Lebanon,Cedar Marine Services SAL,Professor Shipping Co SA,Liberia,Alang,India,2024-06-01 00:00:00,,
8312708,CAPTAIN GHAITH,Bulk Carrier,20058,6956,1984,Comoros,Panama,Hiba Shipping Co,Lebanon,Hiba Shipping Co,Oranous Navigation Co SA,Panama,Gadani,Pakistan,2024-06-01 00:00:00,,
7396654,HABIBA M,General Cargo Ship,2627,1357,1975,Tanzania (Zanzibar),,Global Management & Trading,Lebanon,Manassa 2M Shipmanagement Co,Manessa Maritime SA,Honduras,Aliaga,Turkey,2024-01-01 00:00:00,,
7392608,ARROW S,General Cargo Ship,2765,0,1974,Togo,,Global Management & Trading,Lebanon,Global Management & Trading,Arrow Shipping Co SA,Honduras,Aliaga,Turkey,2024-03-01 00:00:00,,
7528556,PRINCESS M,General Cargo Ship,3622,2005,1977,Lebanon,,Global Management & Trading,Lebanon,Med Star Shipping Co SA,Med Star Shipping Co SA,Honduras,Aliaga,Turkey,2024-08-01 00:00:00,,
9143312,BOSS 7,General Cargo Ship,11478,4712,1996,Tanzania (Zanzibar),,Friends Shipping Co,Liberia,Friends Shipping Co,Friends Shipping Co,Liberia,Alang,India,2024-12-01 00:00:00,,
7922934,OSCAR I,General Cargo Ship,1996,1048,1981,Togo,,Shiptraco Ltd,Liberia,Shiptraco Ltd,Shiptraco Ltd,Liberia,Gadani,Pakistan,2024-03-01 00:00:00,,
9114464,URANUS J,Bulk Carrier,15757,5778,1995,Palau,,Uranus Nave Co Ltd,Liberia,Uranus Nave Co Ltd,Uranus Nave Co Ltd,Liberia,Gadani,Pakistan,2024-05-01 00:00:00,,
7218400,ONUR,General Cargo Ship,2229,1310,1972,Palau,,Natalie Marine Ltd,Liberia,Natalie Marine Ltd,Natalie Marine Ltd,Liberia,Aliaga,Turkey,2024-06-01 00:00:00,,
8503242,TOKACHI FROST,Refrigerated Cargo Ship,3936,2592,1985,Palau,,Ship Service Agency,Lithuania,Alpha Reefer Transport GmbH,Marenga Holdings Corp,Panama,Alang,India,2024-07-01 00:00:00,,
7814632,JUROS VILKAS,Fishing Vessel,604,558,1979,Unknown,Lithuania,Arctic Fishing,Lithuania,Arctic Fishing,Arctic Fishing,Lithuania,Liepaja,Latvia,2024-07-01 00:00:00,,
8210285,SOLARTE,Refrigerated Cargo Ship,3298,0,1982,Dominica,,Baltlanta JSC,Lithuania,Balsola UAB,Balsola UAB,Lithuania,Aliaga,Turkey,2024-12-01 00:00:00,,
9165449,MANIS 7,Container Ship (Fully Cellular),10384,5468,1999,Comoros,,MTT Shipping Sdn Bhd,Malaysia,MTT Shipping Sdn Bhd,MTT Shipping Tanjong Manis Sdn,Malaysia,Chittagong,Bangladesh,2024-02-01 00:00:00,,
9131060,GAP,Container Ship (Fully Cellular),8276,3837,1996,St Kitts & Nevis,Malaysia,MTT Shipping Sdn Bhd,Malaysia,MTT Shipping Sdn Bhd,MTT Shipping Sdn Bhd,Malaysia,Gadani,Pakistan,2024-02-01 00:00:00,,
9188788,JAL GAMINI,Crude Oil Tanker,81565,22572,2000,Tanzania (Zanzibar),Togo,Pamban Ltd,Marshall Islands,Brij Maritime Pvt Ltd,Pamban Ltd,Marshall Islands,Chittagong,Bangladesh,2024-04-01 00:00:00,,
7125811,EMPIRE PERSIA,Offshore Support Vessel,1680,0,1972,Unknown,Panama,Risdon Beazley Marine Ltd,Marshall Islands,Risdon Beazley Marine Ltd,Risdon Beazley Marine Ltd,Marshall Islands,Esbjerg,Denmark,2024-08-01 00:00:00,,
8860834,ALMUNTAZAH,Pollution Control Vessel,4510,3313,1992,Cameroon,,Deepblue SH Shipping Ltd,Marshall Islands,Deepblue SH Shipping Ltd,Deepblue SH Shipping Ltd,Marshall Islands,Alang,India,2024-10-01 00:00:00,,
8607658,SKYMOON KING,General Cargo Ship,2854,1240,1988,Cameroon,,Lucky 19 Shipping Ltd,Marshall Islands,Lucky 19 Shipping Ltd,Lucky 19 Shipping Ltd,Marshall Islands,Aliaga,Turkey,2024-05-01 00:00:00,,
8218380,SEALOCK,General Cargo Ship,1343,0,1985,Tanzania (Zanzibar),,Orca Shipping Corp,Marshall Islands,Orca Shipping Corp,Orca Shipping Corp,Marshall Islands,Aliaga,Turkey,2024-05-01 00:00:00,,
7514440,BARACUDA,General Cargo Ship,2196,0,1977,Togo,,Baracuda Shipping Inc,Marshall Islands,Baracuda Shipping Inc,Medus Shipping Ltd,Marshall Islands,Aliaga,Turkey,2024-07-01 00:00:00,,
7713175,OMAR TRADER,General Cargo Ship,3612,1800,1980,Comoros,,Regulus Shipping for Maritime,Marshall Islands,Regulus Shipping for Maritime,OMar Shipping Co Ltd,Marshall Islands,Aliaga,Turkey,2024-09-01 00:00:00,,
8869749,TRUST,General Cargo Ship,1559,0,1993,Panama,,Latitude Marine Ltd,Marshall Islands,Latitude Marine Ltd,Latitude Marine Ltd,Marshall Islands,Aliaga,Turkey,2024-09-01 00:00:00,,
7638105,ELMAS,General Cargo Ship,2735,0,1980,Tanzania (Zanzibar),,Bright Star Maritime Ltd,Marshall Islands,Bright Star Maritime Ltd,Bright Star Maritime Ltd,Marshall Islands,Aliaga,Turkey,2024-09-01 00:00:00,,
8131142,GRAND MBA,General Cargo Ship,664,154,1983,Tanzania (Zanzibar),,Grand MBA Ltd,Marshall Islands,Grand MBA Ltd,Grand MBA Ltd,Marshall Islands,Aliaga,Turkey,2024-09-01 00:00:00,,
